Việt_Nam	1306
0.0006	1481
0.0006	1482
0.0006	1716
0.0006	Eudocia Macrembolitissa
0.0006	Exeter, Anh
0.0006	1719
0.0006	1540
0.0006	1003
0.0006	1004
0.0006	1485
0.0006	1487
0.0006	1486
0.0006	998
0.0006	999
0.0006	Jiryaku
0.0006	1702
0.0006	1542
0.0006	1538
0.0006	1067
0.0006	1065
0.0006	1070
0.0006	1431
0.0006	1432
0.0006	1428
0.0006	1069
0.0006	Canh Tý
0.0006	Eikyo
0.0006	Chōhō (era)
0.0006	1653
0.0006	1652
0.0006	1325
0.0006	1324
0.0006	1420
0.0006	1382
0.0006	24 tháng 7
0.0006	30 tháng 3
0.0006	Bùi Văn Khuê
0.0006	5 tháng 3
0.0006	1380
0.0006	1323
0.0006	1329
0.0006	Genki
0.0006	30 tháng 5
0.0006	1408
0.0006	1360
0.0006	1359
0.0006	1356
0.0006	1569
0.0006	1327
0.0006	8 tháng 5
0.0006	1407
0.0006	1328
0.0006	8 tháng 6
0.0006	Bình Nhưỡng
0.0006	Bunroku
0.0006	1397
0.0006	1494
0.0006	1381
0.0006	1488
0.0006	1170
0.0006	1392
0.0006	1396
0.0006	1976
0.0006	.vn
0.0006	Việt Nam
