d141a47ca817d36f480dd5f5d953ca1f	A. W. Ward
3277354	Xeton
541531	115 TCN
e66d4f194b63a75aa6b0aa12c95c2286	Hoản hệ
51092	Hezbollah
540842	126
308356	Hòa ước Giáp Thân
1406140	Quần đảo Eo Biển
66eb575f55f5da739d5ba8bb3e77409d	2007-06-05
2b04a40d76e4dbcb8f6b37557be9b25c	Danh sách sân bay theo mã IATA: T
4207999fb4c5d174472cb1e906837e51	Dê Alpine Thụy Sĩ
55394	Bò
8752b2e5cb5e96196e64fbd794fa81b8	Roderick
96040	Air Hong Kong
578416	1048
3264827	Babylonia
541014	365
281387	Friends
357342	Binh biến Đô Lương
529890	1228
d3268479187167321845a4a755593aa3	Thể loại:Phá hủy thập kỷ 1010
14bc48be3946bc207c1329b80a101b8a	Chủ nghĩa hợp hiến
98526	Hoa Mộc Lan
194850	Cự Giải (chiêm tinh)
529238	1626
3b2f1ab61c3d4fe6d390affe5d062a0a	Archibald Vivian Hill
531798	535
bfb5c36e04df8ba2cc33266e6f49f5eb	Bluegrass State
19196	Con đường tơ lụa
590054	Hồng quân Trung Quốc
107949	1966
0d64b671997412363f95b9a4d7d91acb	Bonwit Teller
097578adcd3e3a56cdea82364ebf7a00	Brewed coffee
189497	Lê Duy Vũ
108135	.py
20448	7 tháng 8
3f829837dfb99a5b749f03e23931d41f	Elstree Calling
a0100b32c9b5ddee4ee5ceaf678b4295	Catherine Howard
136948	Lưu Cung
2414134	Caracalla
9a86f077cba90f8ed731776df29f88c5	Gian Gastone de' Medici, Grand Duke of Tuscany
61b690bf872dad6aa1a32a9ddcbd840d	Gretsch
20073	9 tháng 1
251815	Danh sách các thành viên Hội đồng Bảo an Liên Hiệp Quốc
38593	FIFA World Cup
6029909bc87c303a8a3c77282c2305cd	Michael Foot
b91565ce6aa7c2ed80c0f836fae52d35	Chính sách Năng lượng của Liên hiệp châu Âu
dfb7bf15e20fca52ee0f1220f9d8f201	Cultural studies
1ffa8bbe95747dbd6c19f1472326fb78	Chiến tranh Livonia
d8696518385898a2eff87984e40921fa	Shōkei
350820	AGM-114 Hellfire
f8873853dd7fbc9daa6e119a0d55f69a	545 TCN
801080	Le Rêve
818565	Đại học Nancy
71115	Hiệp Hòa (huyện)
e6ffc809980b1a879330b27b6b638345	Kanji (era)
2764	Khánh Hòa
7bc4be462250c154545385bfd4fdaa90	William Symington
d8e04c97a49d4faed7dcaf7941dc35de	Thời kỳ Văn Cửu
05a72bd66bf9aa193aae97ac7201a826	Chủ nghĩa Nhân bản thế tục
e71d742a3012c578103e5f276cb92cf8	ABS-CBN News and Current Affairs
93288	1960
4b3294b6984bb4d17e6fa526fe9748e2	Nguyễn Nhữ Cái
76080	Nhà thờ Đức Bà
1584992	Nguyễn Duy Thân
cc2b7a6b86112a4b7b386b097b838b0c	Alfred, Lord Tennyson
3524040	Thiên hoàng Go-Sanjō
62d2027f82eed7cff0d5632cdd555fdd	Ernest Bevin
fda908a5a622fbbb29d4039475562d37	Hiến pháp Canada
173016	Lê Kính Tông
37558	Algérie
103181	Adrien-Marie Legendre
530068	1158
3496	Tháng mười
804928	Apollo 1
640281	Bão lửa
747be7f9c8916b2db7ce7be0c7a06312	Casa de Fierro
120176	Danh pháp ba phần
50992	Hoàng Diệu
2234957	Nguyễn Văn Giao
3659165	Bharnaraya
7c92bf3a80e88898097b0f5f92a69ae2	Amphitheatre
38fa4e089e81d6a1275ada7aade7fd3f	Charles Scott Sherrington
52478	Lịch sử Thái Lan
85193	Mikoyan-Gurevich I-370
530747	819
9b99b0dd8041fd83eb16fac0be57e566	Nhóm nghị sĩ
eb5abd6628be6c16bac144dfcaf5fea5	America: A Tribute for Heroes
2627	Giga
dc0f01709c66590e837839d2b5a12eeb	Aurangabad
532859	332
213731	Phan Khắc Sửu
f55e1e5787e0006f6b1e0517765434f1	Francis Kiernan
53ceb7799238a0758df774f744810132	Geoffrey Cox
865945	Chuyến bay 123 của Japan Airlines
337887	Liễu Thăng
220f96ec7faf19b742d70fa4e2ccba2e	Học tập và làm theo tấm gương đạo đức Hồ Chí Minh
19983	23 tháng 11
49b573b79902460b9ab45adc0653a569	Cung điện vương thất Bang Pa-In
377341	Charles Louis Alphonse Laveran
bcdb2028834c224308a0700d79eee764	British Agent
448456	Arvillard
a491728f9e1019244a6c8c5749f33462	Vorlesungen über Zahlentheorie
94540	Hoài Hà
3251416	Aero Airlines
28333	Michael Faraday
530056	1168
2bb6b123eb43c9032f74e9787027b872	Lịch Triều Tiên
144054	Nô lệ
afab31c8630022b7813b844fa41e7478	Bàn về Bất bình đẳng
107807	1900
86317	Cơ học thiên thể
c81f120a7127ebd27373b0ead2bb9308	Asia Television Ltd
484784	Hạnh Thục ca
110598	Hoàng Thạch
e0a9a5c919ebb8812d6232e1083f0679	Hiệu ứng Wallace
983256	Công chức
2d150e50c1e2f73f8ab86a69649b9864	Canada (Nouvelle-France)
887128fb247d809955419d3f93e55074	Assinie
b17075d2adfb8d673f2780dda1f86f09	Bản ngã sấm thiên nhai
410801	Liên Bang Đông Dương
242469	Bộ Lại
a616f82efdf7b687ff8cd174654c95d1	Mai Thánh Du thi tập tự
c546b70c59a60a6378d385d3bfbd4cea	Appenzell (thị trấn)
5ef6526641ec0d4644361af7515be125	Lumen (đơn vị)
e6efb1ecbb9baefe1bd46d1501513f0c	Bong bóng thị trường chứng khoán
89822	Hồng Gia quyền
140649	Lưu Mân
a26d6d5a7e2d4937c8de9abcdc279b6c	Dương Tuấn (Cừu Trì)
56e97ebdc4d6fb7b44158d3f72214337	1948 trong điện ảnh
359077	Tiên Dương
529346	1682
2434615	Boeing X-45
573399	Columbus, Mississippi
7a1b49424dc405300e96667d6c84eee8	Bài toán Dirichlet
1536563	2018
529342	1679
265789	Imola
267901	Chương Hàm
198179	Đường Đức Tông
16987	Công giáo tại Việt Nam
07e63a37fa8805e11630a46b1521747c	A Million Bid
28afa50e4da5d4d143d2d5dd32824031	Enlil
527229	Thể loại:Mất thập kỷ 90 TCN
71339	Angers
d433c8c07eaeb3662b6802c4908e9c1b	1996 Democratic National Convention
35835	Liberia
3299529	Chiến tranh Ogaden
1225314	Mus musculus
b50cd9635297aec092b2d610a75cf564	Jacques Rivière
538d51d6d80d3f7b0d37ee5476478447	Chủ nghĩa tượng trưng (nghệ thuật)
578320	Thập niên 1620
29683	Roman Abramovich
3867	AU
109995	Rainer Maria Rilke
3353767	2093
531901	460
808010	Claudia Schiffer
08d3fca166c6ed927560b3612e6c4cef	Clemens tháng tám của Bayern
371c17725d53f8db3a5e62447bda55f6	List of United States cities by population
540862	100
243007	Chiến tranh Napoleon
2420363	Bell X-1
18062	EU
531781	521
573de061d6f723127ccdfa35f7a78755	Northern Dvina
bdc0bc046e767754d85dbf406fde2b6a	Danh sách sân bay theo mã IATA: R
369643	Auguste Beernaert
cb941bcd4278d53541e7e2c74a3d616c	Cabaray
311630	Hormizd VI
64544	Viêm phổi
a2453fa79250b37bf30f9a8238a1bb25	Andrew Robinson (author)
e10a0fce4f310036c7e2de6de4173570	Arthur L. Schawlow
3170289	Jean-Baptiste Dumas
1577082	Abilene, Kansas
1244840	Hưng Vũ
3225797	Paul McGuinness
880468	Carlos III của Tây Ban Nha
e9da04ad0f497fefeaa6233edbd3923f	Bòrd na Gàidhlig
df940a8673369929bd3abb835f6df205	Frantz Fanon
109049	Emily Dickinson
fa19011ca625bbb501d2198367cdd777	Giọng
829261	Chu trình nitơ
b1311d28899e12566229d22c9448c1bf	Giờ hè Trung Mỹ
139890	Bob Hawke
66845	Hướng Tây Nam
2456984	Giuse Trần Văn Toản
fabf1eaf810752c0abdda83e11936b20	Thể loại:Sinh năm 1847
63325	1996
1716687	A Lý Bất Ca
915da6021109e4816a9ca053ac2d7f3e	Năm dương lịch
63998	1973
12330	Hậu Đường
ab1d60880a14da1dced44f648668b8bf	Banitsa
198564	Jabodetabek
1266333	Leviathan
bc622d9151d863dc84b2c6ec682a6f03	Charles Stark Draper
146294	Ang Duong
3ebc3c3aca19656690f72f1557c5f2bc	APEC Hàn Quốc 2005
530076	1154
8216d76acfdd2b2cc46d6980145e517d	Carles Gil
11965102	Serie A 2015–16
63975	1977
ca34ccc6ffac09f6e39f3c3bc3bf9f9a	Castillon-sur-Agen
a7d0aef228b32164c61c43b3bf9aa59d	Svenska språkbyrån
99541	.hk
11612774	Chicago Pile-1
532170	431
942faeeb1c9db83d9e20ec4cd3de8c3b	Aristide
5465	Thiên văn
9060	Mại dâm
24376	Truyền thuyết
d3aeb88ab6a532050f94143eb1b56d8b	Biệt thự Rusovce
529556	1593
272442	Baeza
be647b03cd2d00c2c37609e1c89f30e1	Deadline Hollywood
578397	Thập niên 1060
186177	Thái Điện
2218937	Carthage
1279608	Thập niên 720
092436432da0e052559fc749bc68d842	Ký tự hình nêm
b90719c38734076c9e0bdb11324c5e34	50 cent euro
437818	Cảnh sát quân sự
531908	453
d1a04286aa103c387d0de95b0bc5e195	August Wilhelm xứ Braunschweig-Wolfenbüttel-Bevern)
531849	495
c4bb7d350dad0118810bbcec7f4d3a3c	Cartagena, Tây Ban Nha
1182c33f72506a7d5e0dad4a0b7cf64f	Thể loại:Phá hủy thập kỷ 810
062c22dff0629d18111e0dfc6e9ebe31	Knights Hospitality
5a33ff1772933d202258d3abf53e82be	Panko Brashnarov
806001	Bani Walid
7f11eb002f3f69275885d786b58890b2	John K. Fairbank
71366	Dijon
189405	Banten
580edf6f1fa30de1f697222c6457e5ac	Christophoros Lekapenos
e998c3d1428072165f96d9e85f54a378	John de la Pole, Công tước thứ hai của Suffolk
fb57c1ea390fed2c0d75a2555240422c	Android Pay
128921	Phan Huy Quát
26869	Tuyên ngôn độc lập Hoa Kỳ
6b2407ddc5bf1a6650baa7a61f9be527	Alan Cottrell
137149	Bộ Ngoại giao (Việt Nam)
578431	Thập niên 1600
629957	Dubrovnik
2443595	Aoki Mikio
af54b3c871edb37dbf413ce362bdffdf	Chủ nghĩa Trosky
3139586	Franken
27360	Tân Dậu
512859	Ba Đình, Nga Sơn
16140	Microsoft
3247263	Thập niên 2050
1617677	.中国
1436946	Quân đoàn IV (Việt Nam Cộng hòa)
278924	Abdulmecid II
20484	28 tháng 8
a482052de2bb2cd4a4466dc073389d39	Bầu cử giữa kỳ
2eb79163463098020d7a157ba70ad576	Lịch Cộng hòa Pháp
530525	1509
94000f48ada587e0f969abb8e1c8d966	Baltic Shipyard
c60ec4d2b6a1fb29486a105ae670f533	Alexander Cochrane
392207	1853
2451644	Ngô Côn
9ed2e098593ab837de2f858e50fc7260	Bí thư Xã ủy (Việt Nam)
392217	1857
98f354693a07c65f7e68e898ef9f029d	Danh sách sân bay theo mã IATA: Q
1253227	Thanh Vân, Hiệp Hòa
354530	Heng Samrin
bd71450f6dc48e2275df784328df401f	Giới thiệu về Số học
50483	Giáo hội Trưởng Nhiệm
529583	1574
8222116b9e8db4e41aacfc901d33d9aa	Công thức Jacobi
3682791	Palestine
aea6fef1f53372e24d0684e23cc59d62	ISO/IEC 11404
62070	Thuế
203226	Thập niên 1900
fedb2bc628f61e577137a211024104a3	Quốc huy Thổ Nhĩ Kỳ
98649	Tây Âu
f7d8cdf7d102c360e32e6f7019a2cfc8	Artesonraju
0487e03f5cdbf17696f29fd9ce408054	Ban chấp hành FIFA
4ee6af3053f1ef265e6f274f24b7a64e	Chứng khoán lai
77027	1797
812623	Giang hồ
59815	Nguyễn Hữu Dật
15bcbafe230bc4ca2878dbc005164e6a	Danh sách các huấn luyện viên ở bóng đá Anh
b36043b7bc04c0d72b6206052abb2f34	Broadcast engineering
540886	76
20e6712640733234cfbab45496636470	Bạo động Réveillon
c7c5d790e95b6e4b424d2bc204fc4507	Blazar
530244	1069
529382	1698
dd8b0fb517bca6bdffe9e5bc853e380c	Cáp Thượng
36702	Burkina Faso
2421707	Viện đại học
1a550e97107fd744bd2973ec0893fdcf	Chiêm tinh y học
1adb629276e8386ba7e1bb10d84555d0	Bài toán n-Hoàng hậu
365548	Người Kachin
e28461d4db8b91bebbf7d1df251f51e2	Boeing Dominator
3671167	Fujiwara no Yoritsune
3114600	Nguyễn Phúc Vĩnh Lộc
00089a5f260c210b83a95b5e19ae28de	Danh sách các quận ở Ohio
969f70e41e34fc7d4ea35c481335c1f2	Trường trọng lực
20665	7 tháng 12
529389	1665
541102	5 TCN
15383	Hàn Quốc
cfa981a09c0e449bd8a1ae870229ff91	Airbus A330 MRTT
b3769846d7da6e27e87fd4f6957d14e2	Peter Leeuwenburgh
bd755f6e874e36719916dd5a56217ae1	Lịch Rapa Nui
754b5582617559a6dedc8702e12f71e1	Công tước Burgundy
110893	.tr
2849	Úc
146333	George Clinton (phó tổng thống)
6f3c473c3a6e89306fbd518886d97648	Bob Parr
511912	Hán Tiền Thiếu Đế
191303	Càn (huyện)
28920	Kendo
1094529	Barry Gibb
cba20e22dc9a5f939d2308d93ba77289	Thể loại:Thành lập thập kỷ 640
42146	Lê Đại Hành
2459555	Edward Mills Purcell
d0116c70014afda3bafd1b08a94329b2	Yazata
132015	Điểm
104853	Vicente Aleixandre
2c295490cdc305fade064f28e95708e3	Long Châu (đảo)
3195596	Parsifal
5c602bffff2ff7646be9a1b3b19e4e36	Biển thủ
86906	Lịch sử kinh tế Nhật Bản
32217	Jaroslav Seifert
b8a7751d1682bdf420d2a33ade47ca20	Corax (máy bay)
3491751	Faro, Bồ Đào Nha
911d47cde6ef7f59cbb42c17931a4227	1860 Democratic National Convention
787b78632963e42a6c742802330ec6be	Nguyễn Bá Trữ
6f50b084b0fe6ca29229dce8ceb7f676	Kompas
417043	Chelyabinsk (tỉnh)
3143044	Live Aid
9284	ARN thông tin
10978293	Chủ tịch Cuba
5e35de28a4b461cac36ec35262606842	Bưu điện Hoa Kỳ
3350038	Danh sách các mã bưu chính ở Pháp
2364481	Prajadhipok
99282	Nghệ An
1279739	Thập niên 0
ca9a3264a7739a69bd1da400ad2fbc81	Hoàng Văn Hợp
4200f9cec3aefd4c1b43891ec4a2ffca	Thể loại:Sinh năm 1804
9f5ebbc9b558ece9b93f2b12bab65e16	Angola thuộc Bồ Đào Nha
546365	Tân (Thiên can)
a096c91d52754f4cf3fcbd6e5c6f0154	Barce
6ba3ff2c373b03f358fc5afb402d823b	GBU-10 Paveway 2000lbs
dcda6c19027de8ac6ca04ec0d61f8791	American Presidents: Life Portraits
3250048	Dặc Khiêm
66104	Chất khí
8f76a80ff582d75abff4d5eddfedd6b4	Cuộc tấn công Berlin (1757)
7889202	Bảo vệ người tiêu dùng
0df6d6543fcd26710f4babfe7463fa65	Archive.org
8b81eb5945d73a096afe2ce6db12af86	Crans-Montana
6f897e0ee4d95b54fc8af505a918ae7a	Billy McNeill
532215	384
1445711	Thể loại:Mất thập kỷ 450
1339179	ASU-57
6a4e3cd68fba8d187df31d4078ce0bb0	AGM-129 ACM
183686	Adidas
134200	Thiếu úy
528933	1766
2417286	ISO 639-3
529945	1282
dd2c728c4c476a5194f0b5addf50e0d6	Danh sách các câu lạc bộ vô địch giải Football League One
402475	Biển Philippines
3673789	Leon Czolgosz
5b644a8d63a8110a6d017490ea58e9b1	Abd-ar-Rahman I
530958	1355
f0166a862c5ff57851276954954b1c9a	Bình Thoại
0336d7f791c41f7db216627513878759	Attiko Metro
185170	Charles IX của Pháp
bb5abec169eb99a55d9cf9fea7d0d997	Tháp Mentmore
193119	Cam Nam, Cam Túc
20513	11 tháng 9
b55a7edae752f0a89a2b3b96ff22cc29	Bệnh suy sụn xương ống
0fbc242f77dc0ce35d5589bfb2a87742	Charles B. Huggins
06582e2cb2b83b46ba0f88eec487b799	International Designator
a84591072cb8a975332ff1f7e1c0a656	Thể loại:Kiến trúc thập kỷ 980
420248	Sinh sản
1758284b3519404f80a8935b9b423dc1	Câu lạc bộ Left Book
0541887812f592a1797b44f8a0aa373d	Vũ Tự Lân
add6134ccac6a0a47e5a0d88be3026b1	Những phép lạ của tên nghịch Chúa
511862	Mai Lâm, Đông Anh
93fad883c7defa5a04fee05d69f6f3d5	Thứ trưởng
db70e5601c599f46db6e80139d9ed27e	Đập Yaciretá
12644	Km²
0fd1f27796da5f3e04a9c072c75ca2a5	Các ngày lễ Muslim
531340	605
3882169cc1d6bb91280a1b8f0ca98ba8	John Partridge (chiêm tinh)
aa288409e1a27438b7d9669f1557d921	Alexey Razumovsky
decba66f172bb1cfe6a7756e2f1f70a7	Chuyển khoản quốc tế
53785	Thể loại:Mất thập kỷ 1820
60740	Chechnya
3389204	George I của Anh
bfd0a9466cb894dfd9b88d9c738f58a4	Thể loại:Phá hủy thập kỷ 0
99d07c3936e7efb147662430723ce178	Alessandro Stradella
455846	Giáo hoàng Clêmentê XIV
0f70cc816e9450511cfbc5f45f25ffe4	Thể loại:Thành lập thập kỷ 80 TCN
817807	Bạo lực
500045	Lê Văn Lan
1be458dd2a4abcd38f7331aed3d28c33	Cerberus Hemisphere
24186	Khuông Việt
781843	Người Hà Lan
531272	692
540950	242
73dcbc17257fda50751314c22cd86a4e	Abruzzes
20699	23 tháng 12
2450893	Các lực lượng Phòng vệ Israel
53c6eba23c1229320b7ea3d7b83de14d	Lyle Taylor
6ae598e34a87a583231e20e20c4a32a3	Fodors
125224	William McKinley
bd6ceab4f0b5d29c915bcdaabaf2d55a	Anna Regina
529587	1571
3cf77e4777fc6d3b87668b122ad545d4	Beatriz của Bồ Đào Nha
227682	Australia
e181dd82a559fc0bf39a8031023ed2c1	Dacia Mediterranea
b6796db3f01e408600cebb1f4d262cb0	Làng Phù Ninh
528897	1738
24a476706ae935967e51701915ff60c3	An Cơ Sinh
7391a5e6884c65f452f9f5173594b6d5	Harris, H. S.
26741	Giao Chỉ
59421	Dãy Cauchy
2458680	Tỉnh (Nhật Bản)
1584477	Belene
20170	21 tháng 2
281590	Tống Phúc Đạm
e5c25c63a30f1c2c8e818a454531d161	Jose Maria Basanta
2aa83563a8b6842e0417d2ce440609a2	Quan thoại Giang Hoài
31af3b2f99545a59ca3171f3f3cfae73	Hubert Constant
813005	Gornji Milanovac
316985	Di chỉ thời đồ đá mới ở Orkney
31a39ddc548cdec39169dbd455498464	Sakamoto Ryoma
2d2e4f43739ae3eccd9d607d65a070e2	Cruizer (lớp tàu xà-lúp)
134195	Bộ trưởng
f1c5b94fbf26baf4f53e9d16dbb60fe1	Stunned myocardium
1561	Thực vật học
69687	Công xã Paris
346621	99942 Apophis
392138	1818
450033	Giáo hoàng Lêô VII
1737716	Nguyễn Phan
3133150	Bất ổn tại Ukraina năm 2014
60ef0ccea852c4fdf91a1d369d169e2e	Albert Neuberger
61281	São Paulo
fe4cfd3026a54ceda5afe19b538b1d16	Biographical Directory of the United States Congress
918996c245bde9980a0d8b30bd1a9c78	Agnéby
91770	Xích Quỷ
119b4bc102e658ab0f94cab7e9dcf3b8	Benjamin Siegrist
63570049b11c39087016ac190394dd94	Bạch Mã chi họa
3670951	Jacques Necker
fc2d47a32db83485807fcaa648701604	Dơi trong biểu tượng văn hóa
41859	Lê Quý Đôn
473913	Chiến dịch Donets
1b58edda2b147b55a80fb6f1f2a1de9a	Biến thể của chữ Hán
02cb8be25c0f7a6541bd216f2afaa467	Knowledge-based systems
023eb9c7ac509bec0441c0d46577e7c2	Kobusho
7d013e1554a3284de7a52849bec1665f	Mark Phillips
e08f5492279e9b080e79ef64167678d8	Askim
5ae07d670f1e1b362550b1c09bf6327b	ISMN
fcc1994cc66fad1c0f5962da6db77815	Chứng thiếu máu
38771	Bulgaria
aec5e810b056f9010fbedc304e249b96	Thể loại:Phá hủy thập kỷ 730
5ce0c9068e0c9a9d8522e27caec6f2c9	08 tháng năm
0eb082c0e55342be6c0a52db92e3a847	Mã vùng ở Đức
824926	Tiệm tạp hóa
285508	Chỉ số công nghiệp Dow Jones
33804	Alabama
93ad863957b3f928c51e9f90a0a31e1c	Thể loại:Kiến trúc thập kỷ 720
71ad84eaf1cecaebfbd25aab4d9aae47	Thể loại:Kiến trúc thập kỷ 1640
7450362	Mùa sinh sản
43234	AIM-7 Sparrow
41a4e906f610c18d3769b6e7bc7587c7	Chiến dịch Erzerum
19110	18 tháng 11
423581	Bạch Vệ
20543	25 tháng 9
161900	Hán An Đế
ab372fd6c2c6365eb5bde3d347a4ecba	Al-Baqara
f20a4ee7ef552b981ba458f243661ea2	Amazonas (vùng)
43f788364bcec8aa6f1fd7d42a94f388	Nhà xuất bản Văn Học
778106	Albiez-Montrond
332285	Biển hồ Galilee
fa0f9ad6b579efc0df4cfa304b25ac8c	Thể loại:Sinh năm 1983
40767d3de36070535d176cfe02780967	Jōwa (thời kỳ Heian)
119273	Nadine Gordimer
13b5adfc60fe9ff54f39e8c57e5e928b	Under the Sunset
785955	Chiến tranh Crete
7398	Màu trắng
c692f8de3e578694a7a82434281813d3	Lam Thành Xuân
823869	Bia Vĩnh Lăng
0042b41b8bee40374bd1e9998b97336a	Bộ Chỉ huy tối cao Đức
146070	Liên bang miền Bắc Hoa Kỳ
c54e1f692a5b68247f87eccf185b90dd	Bang Tự do Congo
f67541be31e62d8415991b5985ffc9a8	Charles Nepveu
353731	Lịch sử Nga
107917	1931
532196	399
392173	1836
575623	Cửu Cao
78698	Stockholm
4a7020874c795eb090319aa82a84c137	Chủ cách
532209	390
9e2859ce4265a6b17e3486b1ed1fd5d7	Lý Đồng
417546	Cách mạng Nga (1917)
2639	Atô
2650404a17c0837ed1e8f42f85453db2	Kanpyō (era)
3181917	Cao Hảo Hớn
3122355	Chuyện tình
54c47a3eba6cae8519b2016dcd0031e4	Hàm eta Dirichlet
b842a7dc9cd004944739f9c4f78a4090	Jeremiah Stamler
e54c872cd199019c499404c6342670c0	Gregory King
27347	Mậu Thân
3981411747ba962ad3e0459b3039d364	Anyin language
62774	Baku
8d8ad767c207d82d194e696f0783d294	Berytus
70197	Heidelberg
f5a612f2f6c6e248ba0ee0a78a131130	Mã bưu chính Thụy Sĩ và Liechtenstein
530874	Pha Mặt Trăng
20087	14 tháng 1
84368	Dạ Trạch (xã)
22b3845f426d9830a08de8d686a961e5	Mahathammaracha IV
1279617	Thập niên 810
3266053	Angus Deaton
2d44236a25451689cdd3d08bdb312c09	London (1738 poem)
253667	Kashgar
3683153	Giả thuyết Gaia
28651	Hồ Xuân Hương
232526	Chính phủ Nga
139587	Chester Alan Arthur
161893	Hứa Xương
40871	Iowa
423143	Apchat
1279612	Thập niên 760
396f2a2d162e246b4341dbd7f639bfa2	Heinrich Ritthausen
87cb638746a9eb17b8ba7cbf0d85c76d	André Gros
f67604a489b304dd1585fcf8586707bf	Bảo tàng và Thư viện Tổng thống Herbert Hoover
345839	Giải phóng Paris
7641c91269f9bddc9773f2a61e7f3988	ASROC
51b14dbcf0ff1baf309f8db94a8cd1d1	Asiatic Vespers
cc35a669015a93e78915e1e32aff3c2a	Thể loại:Kiến trúc thập kỷ 1480
578432	Thập niên 1700
ad9d11c144ab9fa4604558c685c5fd2f	Thể loại:Phá hủy thập kỷ 760
81b7e1309f475d20a8a8f0e9e45123df	From Farm Boy to Senathay
2257600	Jacobus Henricus van't Hoff
285cc035548e79dd00f6a0bad0cf570b	Abba Eban
16836fd441305668ee62a12f72388117	Exclusive (EP)
3138318	357 TCN
25814	Góc
1710977	Dòng Đa Minh
6d78b982344a92473fa7fcae19094479	Gennady Voronov
3683161	Castrato
800383	Diệt chủng
795941	Kajaani
531169	708
1263101	Grande Armée
7486313	Bão nhiệt đới Đại Tây Dương
179414	Chiến tranh Pháp-Nga (1812)
117319	Brisbane
55fa9e5c377dcc2364c871e8e616b3bc	Bagaudae
72e675ea8921c95856cd1409a8eddd73	Chennai Open
53862fc8b1fa8373016ca75db065a187	Chersonesus
87748	Bảo tàng Phụ nữ Nam Bộ
183314	Mecca
ef0c890c28376746ec6447bc3e815de8	Canebrake (vùng của Alabama)
3223a4ec1e8875faa3bc1d306757ede5	Alraune (phim 1918)
1437289	Bệnh viện Đa khoa Trung ương Thái Nguyên
822350	Chiến tranh Pháp và người Da đỏ
31446	London
3526505	Thiên hoàng Go-Saga
285330	Lịch Assyria
3491970	Cộng hòa Dahomey
997fa31ca432a0a60753bb843040e670	Common Language Infrastructure
565451	Chu thư
28590	.am
444501	André Michel Lwoff
1266475	Bầu cử tổng thống Hoa Kỳ, 2012
1740065	Judea
720720156e8ca3978e0155708dc4c0c5	Archaeogenetics
532187	441
f86624ecf4b847018f2c1bcc79c288ac	Triết học châu Âu lục địa
20343	18 tháng 6
f8226dcfcb47b6f7d57652a55993ee4a	Holden Furber
5f4f33b1c09d06c0b24f3d789625c382	Muralto
2350532	Mayflower
5a4408c2827ff1999496ff0693f00cf6	Thập niên 1170 TCN
529911	1248
139435	Calvin Coolidge
3137863	Kenny Rogers
20672	10 tháng 12
571a9bd9e84ba594b6f686d02e7b8b44	"Tiếng hát át tiếng bom"
91c96f4ee2682abf0e639d7a42174282	Gnaeus Pompeius Strabo
528899	1740
1f7383c6074e90fe5a6dacf8129f61d4	Bộ trưởng Ngoại giao và Thịnh vượng chung Anh
5e65b09878a78db90ecddfed84cdeb98	Baldassare Donato
421100	Parthia
563fa03518074a263af88ca3523fcfd3	Abu Nidal
815227	Thủ khoa Đại Việt
51ce9548cf70acb18a3b89a8462aca06	Albanoi
288436	An Nam chí lược
9071e19706f10a8f1b7497f90bb7dee3	All Kinds of Everything
138914	Bất động sản
277c21b503de02e024974aadb6fd48b0	Danh sách Nghị quyết Liên Hiệp Quốc liên quan tới Israel
540825	143
6e7df32ed47a16bbe30714de2a4518c2	FC Viitorul Constanța
5d4b54653374eafcf225ef7542748d55	'Con thủy quái lớn
46946	Incheon
99450f34dbc36dd2ef6eb8f52d651c17	Hội đồng Quân nhân Cách mạng (Việt Nam, 1963)
5fbc3466562c1324914c82e1fd55f9a2	Alfred Einhorn
1678972	Đảo Côn Lôn
541487	77 TCN
a03739e349e9c6c4a736193902f72610	Lịch Tamil
531128	749
487082	Lê Bá Ly
46248	10000 (số)
f2f605f7d5868d8b847dbed19c877d25	Cuộc cách mạng
71455	Thế kỷ
c5952e96bab4668ff0fe788cc2c65628	Biện chứng tự nhiên
86647	974
2444378	Triết học cổ điển Đức
75420	Mol
92e6abf731b89105c345e6546baa1aad	Hapoel Petah Tikva F.C.
365366	Aleksey Innokent'evich Antonov
530831	2012
d31877a949c4ae63631523af80802974	Lịch Julius sửa đổi
750511	Thám tử tư
5587ed4c87d66d2fb110f0a5432e8617	Thư viện Low
323207	Phần mềm tự do
7461	Bảo Ninh
c8cda1df4d462fa2aefd8ef80ca46d77	Lý Vĩnh Cát
7de60cb64c1ec83a4de9204bb98d94f2	Demographics of Switzerland
93d1cc93406ede26afc3774400990ab9	Danh sách máy bay của Không quân Israel
53856fe850a79ae0b8537df63b7fe7ac	Thể loại:Hoàn toàn không có nguồn tham khảo tháng 5 năm 2016
1589618	Characidae
d15fdec77f1bc7019f0c2b2e0fe8f71f	Georg von Békésy
106569	Các Bộ Hành chính Liên bang Hoa Kỳ
466797	Ottoman Empire
7498a6b978bd4b5d7c54a7992cb2ff21	Reprise Records
141541	Anh em Wright
3931a68e997f56927e7f599f5f17ff43	Danh sách Nghị quyết Hội đồng Bảo an liên quan tới Bắc Triều Tiên
3512061	Chiếu xạ thực phẩm
57664	Thế kỷ 4
28001940b9bed969e6c48b6aa4555439	Mark V tank
5356	Hương
809498	Mick Jagger
105717	Dương Tử Quỳnh
801122	Carlos Montezuma
53782	Thể loại:Sinh thập kỷ 1810
264395	Avilés
0d69de2eaae2c5fd0bbda46cf1888d91	Divizia A 1996-97
3711951	Lăng Kiến Phúc
63724	1983
578338	Thập niên 1460
8b9610ab72e065283f73f32bb02a4ba4	Al-Khatib al-Baghdadi
40b40859918c65a86400ca9520402927	Bent Løfqvist
439092	Corynebacterium diphtheriae
