109567	Gothic
9274fd65d4b60f28132f8dfcd7f102fc	Stephen Decatur
105774	Mikhail Aleksandrovich Sholokhov
3672298	Dương Quân
529158	1513
3683423	Hiệp ước Amiens
109830	Đa thức Jacobi
523798	1784
63725	1982
1400106	Chola
227c38779e97a5ae82a562f5c99df975	Amyntas II của Macedonia
86054	Độc lập
531166	705
20279	15 tháng 5
409416	Lưu Sưởng
d42f07bb51a725f85f00f6e400bcc000	2001 CK32
417479	Số học
8a01903a3c5294890d24ad67c458b376	Các lực lượng vũ trang Liban
405418	Biblioteca Nacional de España
530882	879
ce7b27c49d94a5bf2e2efd00819914f4	Environmental science
092979c95083c1d4bbda25408d8e53de	Carlo Rubbia
131675	1899
c4eb6fa69991c40716695e12e3e71a63	Thể loại:Kiến trúc thập kỷ 1840
5e85aa559920ddee05b85f34dcb7688c	Alois Riehl
27298	Ất Sửu
116974	Francisco Pizarro
732337	Caribe thuộc Hà Lan
427fcf2a86238bbb50a60ceba429ebd0	Operation Eagle Claw
175786583d15c16f66a591e53f881c75	Birger Gregersson
192483	Hòa ước Giáp Thân (1884)
e3f54a8438e6be1107c3cc8506f41e8e	Bragi Boddason
ae5a724c7961c524419f632dc767ddc9	Bảng xếp hạng tổng hợp Ligue 1
349451	Lê Ngọc Bình
244890	Amartya Sen
f7bdae439801adfee1cb0e032d39f7f4	Ahmad Urabi
18280	Kỷ nguyên (thiên văn học)
3edf050d9ed31759b9f4da0740bb8dce	Chủ nghĩa bài Nhật
d98a9d9d9505b8a12b4947fe3b22a236	Anton Hickel
5af47f2a420f4f5fd19c04b17bc9ed1e	Cân bằng hóa học
531789	527
3674762	Axít
529738	1317
ae0a144c5aa85c5cc6b9cc6fec6be529	Elisabeth Olin
541046	635
3143200	Hệ đếm
24477	Singapore
529555	1594
b9c0d6b4461c544e6b5c11e7ee2627ce	Anticuchos
20116	28 tháng 1
86294	Quảng Trạch
daf1731f757640aa414b4f1bf3112d02	Nguyễn Đình Thuần (Bộ trưởng VNCH)
120460	Erik Axel Karlfeldt
2479088	325 TCN
90412	Cường Để
53e244572ac21b68ff458633cf7aa11a	Eurocopter Lynx
2450332	Họ Habsburg
87e7c3e4d4141232d92e7fccbbb018b9	Chấn thương tâm lý
530366	1406
20276	13 tháng 5
8fd2f0c8bc8fd41a495d1989b4415fb9	Flag of the European Coal and Steel Community
751d2a5071bba9fc3f842af0a93a675b	Thể loại:Phá hủy thập kỷ 690
b98c4a2aa11789f05b042c29721f3eb8	Danh sách các sao chổi định kỳ
1c741f32bd07341b1365c301852b263d	Quân đoàn VII (Đế quốc Đức)
532214	385
6218	Đạo Cao Đài
541564	131 TCN
575534	Quận Hunterdon, New Jersey
59645	Muhammad Yunus
5529	Chiến dịch Hồ Chí Minh
44e776efce80221ab1df17568c9a1759	Hùng Vương thứ IX
1244623	Hoàng Tiến
578312	Thập niên 1670
3138007	Chiến tranh Kim-Tống (1206-1208)
531172	711
6a79078d221f071732d3dc7d55a26946	Thể loại:Kiến trúc thập kỷ 1530
e19b991ff7c2fb6a4e9a03a1bedd51ee	Green DeWitt
f4c0f282f6e587e7c5f09aa9949b3d56	Interregnum (Anh)
59bab86813ea01febc54d1938adb557e	Hội nghị Wien
86164	Danh sách máy bay thử nghiệm
3f1740f13111f72606af5c49dd8f9ee4	Bồn địa Gyeongju
eb51d3ceed8d87f64cc931fbdc19c3b1	Friedrich Myconius
840c628e234967429c2a5b33d63829e4	1960 Democratic National Convention
91d0df740b730187559532e93dfc6930	Goshen, New York
92177	Trần Thiếu Đế
c98d5a6c7a72a865b0d6361c2cbfce08	ISO 3166-2:CM
530603	913
2dbccc2a56a4dae6cedd6f3c3d27c6ab	Burmese (ngựa)
63215	Giang Tây
578315	Thập niên 1650
86f513584af1a1a5c3f8dc47c13e2c53	Công xã Pari
524430	Tiếng Armenia
11562d74c7cdeb1d791eea5a217ddb57	Liên hiệp quốc tế các ngành liên lạc viễn thông
267423	100 Greatest Britons
8792413fb019fc415689547efde8f2b2	Ann Tyrrell
60194	Jean-Jacques Rousseau
128953	Nguyễn Ngọc Thơ
1764739	Quan chấp chính
820287	Christopher A. Sims
6845b43be95d12a882b5efa3e77e0e05	Ignacy Jan Paderewski
120250	José Echegaray
243304	Asyut
119478	Chiến tranh Nga-Nhật
20547	27 tháng 9
237668	Ban Chấp hành Trung ương
cb66ec33be30b087407727512b11fa69	Công quốc Anhalt
3510371	Đông Nam Âu
554778	Anne, Nữ hoàng của Liên hiệp Anh
9c09e8a294124846e5a0561ef298617a	Alumot
62d0d3423b0b637f45b6974c774e91a0	Ngày 19 tháng 10 năm 2004
e77311d18ce5131aad161445ccce7a38	Tồn tại
1fc4ae42b13b1d4a933af78c6a4f1ce8	Giuseppe Arcimboldo
531895	466
53c48c90d8fa5ab3f66c10b3bc7ca399	ABC-Bogen
397829	Công ước Pháp-Thanh 1887
528379	Copernixi
3353653	Cầu Ghềnh
7504678	Chính sách lưu thông tiền tệ
d062366829c38a4028d3eb043d203547	Willbur Wright
490097	Nguyễn Thủ Tiệp
388069	Hoàng tử
f62ae3b4f4eae2619ecb2d97891b6219	Sothic cycle
276483	IPA
3563618	Lê Quang Mỹ (Đại tá Hải quân VNCH)
fd6d911957c006457dbe311452dc6284	Adriano Panatta
88bbc8fca23188668f34cad49aa83cfb	François de Neufville, duc de Villeroi
107936	1952
441158	Nhà Ottoman
af74153ba5f8cf36b725571c282c0a21	Haboob
4666	Hưng Yên
ab9048248965038b5f0f835e554afa61	Quốc lịch Ấn Độ
89082	Ngân sách nhà nước
242398	Chiến tranh Mậu Thìn
a6b6380e516472d243b5e9d5a782f5c3	Boniface Alexandre
2260960	Friedrich Bergius
292337	Rama II
23315	Cộng hòa Ireland
eedeed85366cf57e4701185f24b7ab32	Thập niên 1010 TCN
bdf6b596316e6722ff2250f2752cd65f	Collegiality
de032cfe551341d8643236ffb5956b0d	Cầu Am (phố Hà Đông, Hà Nội)
12660	Ludwig van Beethoven
28596	.as
490194	Bronisław Komorowski
ac18d86a67ac3f83a4e8286c80bf5ba9	Anak Aê-Diê
53777	Thể loại:Sinh thập kỷ 1790
50e0d75bc0450f9664ed70dcb1a4b378	Bọ
20458	13 tháng 8
ff00c41767df7d6e3f4270c42e858efa	An Trọng Hối
107935	1951
26882	Hiệp hội các quốc gia Đông Nam Á
3359784	2096
75037	.vn
33007	Thượng tá
2429143	Fantastic Four (film)
63966	România
470005	Bệnh Alzheimer
573396	Biloxi, Mississippi
e4cf3ff9e30ebb220980716aba766e16	Thập niên 1100 TCN
37df6bc1832589c82d0b5c0553859d20	Christiane Nüsslein-Volhard
23701	Hiệp hội Thiên văn Quốc tế
77224	McDonnell Douglas F-15 Eagle
474267	Palermo
5910a17c57e831339dc83fc844768a16	Chernogolovka
32949	Thư viện
35c3b49b3936eaad9ba30fd3b1d514ba	AIM-152 AAAM
109152	Concord, New Hampshire
8fab59ad92e21825c33aa24cb861e618	, Công tước xứ Calabria
3379566	Danh sách thập niên
11185416	Rockabilly
5b4911cfdb4a611dc9311e5f9411a46c	André Bjerke
880387	Orkney
f45bc21224642500118fe9b1c93b5106	New International Encyclopedia
b524992da3fcb88308427e3a7b2f0cf2	Chim sẻ trong biểu tượng văn hóa
3349407	2037
494e0084ebf9522ad4823dabdb18c305	Bộ quốc phòng Nga
28802	Gottfried Semper
29600	Cuba
377339aea6d7a8fc35e05e066d6f1e9e	Quốc huy Bénin
20200	6 tháng 3
448456	Arvillard
532223	376
52ccf3890ca87c468c1a5860fcfca30b	Mehico
818565	Đại học Nancy
7dc43da0101a8c1bcb9b7d455ebf5b72	Gia đình giáo hoàng
20165	18 tháng 2
52304	Sở Khanh
b3724908b43adf07e6b30b145f2d9fe0	Phu nhân Đặng thị
123121	Olga Drahonowska-Małkowska
48811	Bá tước Dracula
77654	Danh sách tên lửa
797898	Byzantium
86717	Chu Mạnh Trinh
403555	Bộ Giao thông Hoa Kỳ
583741	Leszek Kołakowski
39f9c532723a9a621121f194ac02d8c5	Big Hits (High Tide and Green Grass)
47543	Nhạc
3c80c3d1317cf955924f3d76829eeb76	Alford J. Williams
28d4f848080a809691cc83f836e979a5	Năm ba Hoàng đế
3222683	2112
3259	Nguyên Giang
945089b29eba9b57007939adfaa3b2de	1964 European Nations' Cup
69d8e2ecbd1b2ced33c925705d53c63e	Philip Doddridge (Nonconformist)
544469	Giải tích số
96645	Địch Long
483559	483 Seppina
3148440	Chất xúc tác
4d5c7ea94172fbed9b61485cda5e7593	Danh sách các chính đảng ở Đức
a030db9246a1742bc21356960e5c21ce	Brussels, Bỉ
529993	1211
4e4c4162b409c59e5aae897f70c5aa2c	Bảo tàng Nga
578386	Thập niên 1160
531266	698
204698	Hoa Dung, Ngạc Châu
529301	1651
530393	1426
3527633	Fyodor Mikhailovich Dostoevsky
fcfa2c91f993564e3846ca6966a14c70	Danh sách công tước Parma
b7b04ed964a09d8ad95f5a8ab67334b9	Công thức Frank-Tamm
93807	Bảo tàng Orsay
a82fe08d1468f78ed99a5ae1aeb2f36f	NERA
530500	1490
0f1a7a1e7feead11b5115d511f4fc93e	Liên hiệp Nam Phi
20421	25 tháng 7
1279611	Thập niên 750
530038	1179
fa39f0ad1d142fbf736d10c1fc270c20	Charles Vane-Tempest-Stewart, Hầu tước thứ 7 của Londonderry
94e1723eaddeb6d155016599cced6bbb	APEC Singapore 1990
7bf7178c5e7e2d034498c1a1aa4200a1	Alexandr Nikolaevich Scriabin
581371	Ban Thư ký Liên Hiệp Quốc
278212	Abdül Mecid I
5531c455ee9b6152279572e9b8997802	Hợp xướng rạng đông (điện từ trường)
8307	Thượng tướng
1819932ff5cf474f4f19e7c7024640c2	2160
8064823a40770cd626ce1c4b71b7b519	Mei Yaochen
27343	Giáp Thìn
3c34283a43209f52adb968b2c7513450	Định lý hàm nghịch đảo
1aa1334a0065e5c9d7a37c5fe380ded4	HMSO
911d47cde6ef7f59cbb42c17931a4227	1860 Democratic National Convention
d919b1a229399b3f7e2a3e7a92a12a0d	Carmine Castle
799254	USS Chung-Hoon (DDG-93)
819233	Aleksey Andreyevich Tupolev
3447	Tháng 3
4931	Phan Bội Châu
d6af94790f92ce56790d29fe78046f6c	Arnaldo Ochoa
540787	167
768168	Robert Bunsen
1200cb1964778744231de9680d495237	Caldwell, New Jersey
121013	Triệu Phi Yến
a3f05da768691fc82a1ea2d0d4617a16	Huy chương Ellison-Cliffe
578298	Thập niên 1780
446834	Ngô Thì Chí
1646799	Dị giáo
813371	Anh chị em họ
415793	Constantinople
85532	Thi Hương
388183	1843
24478	Chính phủ
189c2dab6413c02061d94a33d24c31b1	Chiến tranh Thế giới Thứ Nhất
196755	Nhà du hành vũ trụ
112665	Afanasy Afanasievich Fet
bc8f7903b5513d36be4ae4fc9f7220dd	Cáo trong văn hóa đại chúng
94f573024963b0cf0897be0fcffa2d2a	Lịch Ethiopia
2cb82a0a9dade74ebcb6fa375f49880b	Georges Feydeau
531179	715
1244043	Gia Đông
578403	Thập niên 1010
798186	Ferdinand III (đế quốc La Mã Thần thánh)
27339	Canh Tý
2439352	Cúp bóng đá Hà Lan
33169	Nhà Trắng
406015	Tàu chiến tuyến
532178	439
45523	Phú Lâm (đảo)
2c9e7844fe5af716854ab40908bdd4f9	Danh sách tiêu chuẩn IEC
107890	1919
10790	DOI
d687bb1e1acf47a078b14b5210a44a85	Nguyễn Phúc Ngọc Tương
b9c979840c750f14b8228a6294a2ec20	Bryan Magee
05f5bd7a98c9d7e672041c55250b1f63	Andrew Surman
27579	Đại Cồ Việt
3187651	Botulism
94435bc24a33cc43605ca29499dd57aa	Thập niên 1080 TCN
308b3300e7475849b9b710208931dd42	A.C Ajaccio
a95fc5f3a2e2f93bc0369a4cb0fe7b85	Chiến tranh Kế vị
33004	Mỹ Latinh
60361	Ngân hàng Grameen
527241	Thể loại:Mất thập kỷ 0
4997	Nhà Nguyễn
4651	Phật giáo
156797b43d9cb61963b486f5cb435fb0	James Thomson (nhà thơ)
26495	Fyodor Dostoevsky
107435	Hokusai
44acb808191194e6dc937475ce4e463c	Con dấu lớn của Nhà nước
20125	2 tháng 2
3341383	Câu lạc bộ xuất sắc nhất thế kỷ của FIFA
206456	Cơ thể người
494583	1
33f2baa71f48ac4c12c9e9922d3de08c	Số mũ phân số
29063	Do Thái
21eabba0dc788303d128afac82e9eede	Tôn giáo tại Benelux
0f761f624d48f4715acc20b7cc51493b	(WHO
2453594	Cortana (phần mềm)
353652	Cộng đồng châu Âu
578310	Thập niên 1690
1398526	Bồn địa Pannonia
5645	Tổng thống Hoa Kỳ
862f2196f676ac046c575570c209b992	Danh sách thế kỷ
409359	Quốc hội Việt Nam khóa II
94cbc30b186b60305a133335cc321814	Luận tội
142b26ea2851ac94bb6e658c8930eacd	Âu Trường Thanh
201757	1774
18329	Khỉ
596560f11cdfe9994e8c144b248d5a67	Neckarsulm
1094227	Trịnh Nhân Mân
820022	Học viện Khổng Tử
c07e162ef69caa5584ddbbcc2adb8a74	Dương Thanh Sơn (Đại tá, Quân lực VNCH)
3346330	Bettino Craxi
0b751a0e16927d80f2e82bfd0f9a5a67	Balliol College
3415048	Mike Pence
a915fa3743a972bbbe4dde0f8ed696cd	Bãi Bajo Nuevo
44074	Cộng hòa Miền Nam Việt Nam
3513857	Giáo hoàng Clement XIII
540749	107
442659	Christian de Duve
61506	Phnôm Pênh
540738	111
9195540	Thế Pliocen
7d78091e066c18b71aeae6a2dbc14155	Phật giáo Thái Lan
405431	Bộ Bưu điện Hoa Kỳ
814779	Chim nhại
408684	Hán Bình Đế
187103	Lê Ngọc Hân
1f553e04e90332f61875b1f2d75cdd3f	Bão Frances
bf7432d4e6d976c173a84c2bb67028bd	Congo thuộc Pháp
db3d611d61f135899421fae1ba0c79eb	Lạc Đạo tập
541538	122 TCN
95f7f28cfc1ad6b0e365bc25f7a47c3d	Hồ Phùng Vạn
530731	803
788029	Chiến dịch Thượng Lào
46851	New Mexico
1330807	Thượng Dương hoàng hậu
94d95af9cc1d34cb05adce71a11eccc4	Biển Irminger
2431765	.ଭାରତ
5b0f9ead33132ce1ac058fa38e6a9931	Giờ ban ngày miền Đông
eca4eb7e0fddf0468e387e8a93c5d332	Alfred W. Crosby
496b0729228ccd907ded20102593fce1	Kim Dae-wook
147ba72f3f67bee0147a81609e78d3cb	Tính chính trị
d752dab4c3c1764417034ee83c04bc3c	Belembaotuyan
201762	1776
3243351	Anh thuộc La Mã
1241288	Kim Xuyên, Kim Xương
3209999	Frederick Banting
579238	Ban Tổ chức Trung ương
3161603	Museum of Modern Art
4ff33244e2baedd1506bd8b5e13707cd	Grit, The Young Boatman
2437064	Convair X-12
631dea7fa1a6e2984bf725721de07b3c	Eiroku
312741	Chiến tranh Tây Ban Nha–Mỹ
31617	George H. W. Bush
13053	Duy thức
c6cf92c37eac527419430abe74e69179	Cuộc nổi dậy của Shay
3351385	2084
15ca83316acd23543c19cc0ef6c82737	Công xã nguyên thủy
c8e944869f8a7df934ab06e5688b8429	Thể loại:Thành lập thập kỷ 650
261d3d7b856cf5b8777a266ba2b5e2e7	1973–74 European Cup
06e7629fbdc41bbdb7e5df9a27c8d203	Louis I của Hungary
109028	Grumman F4F Wildcat
530317	1033
98438	Thế giới
c6ce4ddcb5cb252dd63ea699daef7636	Robert L.Taylor
541048	637
455592	Giáo hoàng Grêgôriô XV
420653	Albert Claude
1141019	Quốc tế
bd6a43ceaffe93a6c2718d68a6ff9111	Country Music Hall of Fame
186837	Biển Celtic
471454	Cừu
188033	Morphine
531304	659
359031	Avigdor Lieberman
05314477e2d3844bc5254ddcd3e91710	Kratie
3b788e73b091aba1a628433463b50f37	Cap-Haitien
64221ee3c20f500d316bd077944b5aca	Chiến dịch Amanda
d995a4464ab2b1b0288dfc577dc72894	Abdul Haq
e0651d313b287071415fefd7c47f6ab2	Chalcedonian
097f85fcf470beeb8891b341d6e6c0e7	Abaco
29111019c55853c7093dde2095d9165a	Cheonbuk-myeon, Gyeongju
492724	Danh sách sao lớn nhất
38772	Croatia
34054	Ramadan
1582006	Bexley, Ohio
244499	Kiều Công Hãn
201772	1778
529558	1591
e7a0c3ed6dbad5df00e5013f432fd625	Araya Shingorou
c45a0b84354d17d0b73047edda806631	Cơ quan Cứu Trợ Nhân Đạo Liên Hiệp Quốc
107892	1921
20196	5 tháng 3
103150	Johann Peter Gustav Lejeune Dirichlet
530218	1091
334142	Phồn thể
2451301	Độ hòa tan
309abccc18efa351dc02f60e4bbe6772	Alfred Hampson
281216	Asahi Shimbun
b810194e3e976b22f382358f7f097167	Alastair M. Taylor
1242161	An Hải Bắc
99d3190b2d6a50baba89d6de089feda6	Axit barbituric
1006335	Danh sách vua Triều Tiên
246196	Karim Khan
40294	Triều Tiên
20535	21 tháng 9
530129	1129
3379371	Da Luật Đại Thạch
4ec0fbec84d3096279caf8a9485684ff	Mathematician
b8702660babda8600f19d70b175cdc1c	Thể loại:Phá hủy thập kỷ 720
7406503d8e4c167ae94bbfde6697d22d	Giờ Đông Bắc Mỹ
6068b1c417affdb3801869b2f29c8b99	Asrai
2414354	Giải Roswitha
237a58682373e65b19d19a9bd543ae7f	Chokyo
33795	Nhà Tiền Lê
1680307	Bukovina
16e85c7534cb9ff171a2a15d789f4871	Ole Danbolt Mjøs
db333364c774afd375fd004c8d2efa27	Betty Williams
567224	Lý Hồng Chương
528997	1612
526186	Buffalo, New York
fb1e2bc893ef7ac831632512d5c1971e	Bắt giữ HMS Dominica
99d07c3936e7efb147662430723ce178	Alessandro Stradella
30982	FULRO
974180	1 (định hướng)
146972	Trận Appomattox Court House
16480	Định thức
42685	Dương Vân Nga
3349641	2113
530128	1128
92759	Dynamit
20615	2 tháng 11
f6e794a75c5d51de081dbefa224304f9	2132
b2f34ba0d2164ae40dab7d537978164a	Cheonmachong
aa6fb9b0092884a1e1d0ed8aba2bc37f	Arie Jan Haagen-Smit
528891	1732
20668	Lý thuyết xác suất
796637	Atsaphangthong
529163	1511
7f7e6c341d3b6b7dc0ab6adb799625f3	Gia đình trị
298092	Danh sách sultan của đế quốc Ottoman
4a1824a8f80d27255b9fd5cd92d85bb6	Florencio García Goyena
359092	Lưu Danh Công
00dc04ee685794c7bdbe6f91e19b1b50	Sức mạnh
290870	Annonay
c2883abf9f970ef98b9b8510165d0e71	Chiến tranh Cách mạng
127621	Aruba
454363	Éragny-sur-Epte
236138	François-René de Chateaubriand
532092	401
328546	Phương án giản hóa chữ Hán lần thứ hai
297020	Nguyễn Phúc Hồng Tập
de9e499881288c77268be4a9ae44f6d5	Kỷ nguyên lịch
529957	1292
20632	10 tháng 11
530962	1359
19331ce11934d2fefc1ba6c653e73715	Chữ số Ge'ez script
b753974ac8d478ebc5e6480a470d9843	Alexander Payne
11893256de8eea53140fc2ab3bda86cc	Chiêu Lăng
298317	Chulalongkorn
e97ee10e0d85159d9a6cfdf01c2cad01	Felix Aylmer
1646391	Tiếng Hoa
120935	.rs
fa0aa3564148131fba7b311222547821	Hỏa cầu
1242756	Bình Mỹ, Bình Lục
3442	Thứ Sáu
241de366b343ea22dbee8d243d6ee345	Bộ Ngân khố Mỹ
530562	969
25136	Pierre de Fermat
ac83db54e43591396ef7c40fe647f155	André Gorz
541412	57 TCN
20625	7 tháng 11
530598	909
529552	1597
3648	Công Nguyên
f163a28aa7127cc55acc047c3fc7093e	Cell (vi xử lý)
116837	James Chadwick
140751	Trên sa mạc và trong rừng thẳm
546232	Dậu
4a44ad6b6da11d94b330a2dbeb324f2c	Aglaophyton
1a1de52d9593b48926b4d2afa5b299ed	1965–66 La Liga
064458dcd0cf25aeb59a2766e1cc7c03	16 Tháng 3
530494	1484
452519	Giáo hoàng Alexanđê VI
11444123	Aquitani
e870fc0368ff542480d61d88445efd9c	Borommaracha III
578391	Thập niên 1110
3372153	Bản ngữ
1cf6b094447963b9b71d7b90c6ce34d0	Dannie Bulman
2462207	Thiên niên kỷ 2 TCN
530462	1482
1743023	Trận Bạch Đằng, 938
26702	Chelsea F.C.
2819	Áo
578307	Thập niên 1720
20574	10 tháng 10
9883a06f5b260cdf3ca32c7dafef89e0	A Conspiracy of Hope
7d11fd21a95d5f743afc767c5b2440c4	Tống Thị Quyên
519303	Chu Do Lang
c76d334202a5da4dea9312035a67920f	Anthony Birley
71ffe94f953050184f2f214b7700124c	Life (magazine)
1e84896d459f1c76ddbdefb1304b58a4	Altiplano
1546231	Chuông Quy Điền
231241	Chu Khúc
101276	Hồng Gia Quyền
2e673ed37a6c87712e0c3654ab527d3c	Epaminondas
406300	Mücheln
90299	1965
2414203	Alice Munro
109988	Catullus
3689640	Human Torch
aab1313ca3c0282ad9567687a0f39af2	Allegory
e5453269c7801fabbbf545c7bafd76df	Antonia Trẻ
18855	16 tháng 11
104874	Chiến tranh Pháp-Thanh
230616	Bầu cử tổng thống Hoa Kỳ, 2008
308961	Ai Cập thuộc Ottoman
20337	15 tháng 6
18582	13 tháng 11
785361	Banja Luka
1008	Nguyễn Du
541789	Ciudad del Este
42146	Lê Đại Hành
541507	96 TCN
391966	1808
528908	1743
7c913ecf11fa20b217dafe2d6762b275	Bọ chét nước
f4f70d0f57a03f0995af909d7aaa86b3	Jayavarman VII Jayavarman VII
540718	235
bb91859957209c5308ff235de4b8a198	Beatrix Potter
b66adb816902ea2c64a07ea37c54b6fe	Alfred Moore
3227540	Năm Lửa
682ac45887ed15d6f2a2a81d5e7044ec	Ceres (chiêm tinh học)
3264446	Thư viện Quốc hội Mỹ
8eb1dd723174f74c43b514c4e6c5138a	Clarendon Press
67014	Whitney Houston
20471	20 tháng 8
105489	Bắc Phi
1388	George W. Bush
37561	Botswana
85776	Quách Quỳ
77667	Chu kỳ nguyên tố 3
e07cf669165a9c0643ed9c776d4c12bc	Brisbane Times
42320	Chu Huy Mân
87193acb67c680be5ff924a48ae942b2	Johann Friedrich Struensee
557b4b65f061d5886ad757d3719ad51b	Antrim, hạt Antrim
37606	Anh hùng dân tộc
920	28 tháng 3
397847	Cung hoàng đạo
726cbcf5393e1f3164c09c4d56ea4867	Bell Labs
f2afc12472d67eda2d7c02290f571e8c	Crito của Alopece
68ea9bf3135e1ee9ee9c3abbae8c5a3e	Trang trại Brook
63469	1991
c7aef0e49e33a251f32dbd11366d94bf	Abul-Abbas
94fab608aa655274a5ca0e2d4e60ba78	Chu Hữu Lượng
472d86614641e8f90c9364034874f8b4	Anetta von Droste Hulsoff
529136	1529
36a4247bc99be6489a522cab1d1e914f	ChyūJō Kinnosuke
530522	1507
a28e4fe16f6a65a1d21d6722e0d8eed0	Business Line
25f954a87ceca9261f4ccebe432ac378	ADEN cannon
02a7ab4c289148b68de1a4d9f7f8cbd4	Albert Lebrun
578392	Thập niên 1090
1458148	Mary I của Anh
e4e3cf614a07230cb203e19f4414645b	Lịch sử triết học phương Tây
923267	Chiến tranh Thục-Ngụy (228-234)
5c8691851560a68680856ec496e76f72	Artemis Corona
27356	Đinh Tỵ
dc59e5e5ed56fff8dd7b2040465973bb	Danh sách các nhà chiêm tinh học
d991f4f52fd8b31b331478eb5677e1f7	Bob Schieffer
fc592b5a831cbf675a0cf383d3023e16	Haab'
894127	Chỉ huy quân sự
9293397	Lịch Dân quốc
b361cdb48a0fb390d48110cd6ac4cd56	Huy hiệu của Bonaire
20667	8 tháng 12
de04aefb66303131167ad4dcff8fa6cd	Công tước Brittany
128994	Thuốc nhuộm màu chàm
529936	1271
116959	Gustav II Adolf
2444295	Lưu Tương
64744	Dịch tễ học
2449625	Người trong bao
1328662	Hoàng đế Áo
392140	1819
504309	Emden
edc3ffb805120e1227bf3ba52d367bb5	Little Saint Hugh của Lincoln
52293	Phạm Thế Hiển
b52bfdff8654b25ea7c0b090e67f67bf	Enryaku
83201	Auckland
5964	Alfred Nobel
1485053	Cuộc hành quân Castor
4c11729c042dbb837e961e5165b35b3e	Shakhtar Donetsk
375262	Cecil B. DeMille
083b37e2c28bdf8cb37460b24a19ec22	'''kế hoạch Albatross'''
9258588	Khủng hoảng con tin Iran
448467	Bonneval, Savoie
06917e4e841b1bdd6cbdec1dd5a2d94c	Bafing (vùng)
530446	1470
5f01a84db8b589dd388e2e7244eb4991	Hamilton Crescent
530981	1381
84399	Henri Becquerel
528984	1610
6af8c10da01499ea42d33ec55ebca749	Chữ viết tắt bưu điện Hoa Kỳ
117023	Người Kazakh
22822	21 tháng 01
3247194	Thập niên 2030
24151	Chân Lạp
4eb7d5134d6fc5157b81638e3c772318	Bách khoa toàn thư Hồi giáo
69531	Cầu Giấy (quận)
20554	1 tháng 10
3440	Thứ Tư
199201	Stuart Hall
b7b155daed23c48338dea848b481be9e	Bononia
28587	.ag
20254	1 tháng 5
10697	Litva
a8ed134246505898cb6abaf8157d6d6e	Jamsrangiin Tseveen
197df58a236da1f91872eb6516a58fb8	Coat of arms of Antwerpen
31abc5c5091b4380efa70e414cbd3e05	Genkyū
210439	Bầu cử gián tiếp
2b45e9a93062893df21fd871c7f157a7	Thể loại:Sinh năm 1864
119584	Champagne-Ardenne
0f646ab9a8bd2c304f389ee625303c0a	Black Russian
b55671c8733a76ffb606c361d4d69796	César Milstein
143664	Cha của các bom
3349532	2064
7c41c1bdde5d1ea1cf60f5d217a7d03e	1991.
c34dfbbef6559368b4ef178b6866c3bf	Biên giới của đế quốc La Mã
42291	Hậu Ngô Vương
1645307	Tập Đình
2434968	Cao Tòng Hối
1748202	Gustav Eduard von Hindersin
575797	Dayton, Ohio
3367383	Đồ Thư
3215869	Cộng hòa tự trị Nam Kỳ
45d5fa232c925f15733419f802838fc7	Commitment (phim)
3250427	Time (magazine)
289078498e7af0522b45f24c97b335b7	List of heirs to the Russian throne
20172	23 tháng 2
53768	Thể loại:Mất thập kỷ 1740
05f9f4f83a453347a8dab52dbc2f5188	CKOI-FM
1ad4b60812dc39d808bdd87feb36cb3b	Aboukir
61232	Hoàng Công Chất
578346	Thập niên 1420
193119	Cam Nam, Cam Túc
383694	Lưu Hạ
529559	1590
819979	Elizabeth, New Jersey
206365	Bi Châu
d5e2763d7a7d7dd3690bf04228ec1ab5	Suleiman II của Córdoba
215d138c1563957125f65890ba46754c	Kan'ei
83325	Trịnh Sâm
52898	Côn Minh
49128630eec019b1ac513d73bb9bbf78	Rastrelli, Bartolomeo Franchesko
259813	Carboniferous
3423350	2AM
3422037	Danh sách huấn luyện viên Chelsea F.C.
30027	Chu kì
7980cdf513fabcebe6fb8b441aa10680	Nhân cách hóa
529996	1214
139567	Grover Cleveland
1279604	Thập niên 670
9ceed07936bb73f756027dc20e7869e5	Americas
ca63ea54d37a2916b45b1d3a41ef56f8	Assyria (Tỉnh La Mã)
2426515	EMI Records Japan
804603	Brăila
893	22 tháng 3
579096	Galicia
da2a6073928766a0749a5bebea8963c5	Chiến tranh Anh-Afghanistan lần thứ ba
104250	.gf
da8237f38a851dcf50257a397cb96f17	Tranh chấp Bắc Borneo
d3f584b1a65991b548a239df9d7a9708	Biểu tình thứ 2 tại Đông Đức
5749e606a6cd3067041c8c5129dabeb4	Báo động đỏ
18771683546a28138a19fbbc74210cb0	Columbus, Indiana
130840	Văn Giang
cb8da6767461f2812ae4290eac7cbc42	2153
f532a7c859edbbbacfe0a728469cb15d	Nhân duyên
1710578	Chiến dịch sự phẫn nộ của Chúa trời
cd3f31fb4440f786b6eaa15e2a0fa937	Alabama (bang ca)
98153	Danh sách tiểu bang Hoa Kỳ theo diện tích
782449	Hổ hình quyền
1425727	Balaton
531192	738
34295c32143a6b21d8b36f97b6b42fbd	Abdali
787	New Orleans
438325	Alfred Hershey
419678	Hậu Lương Thái Tổ
817254	Lương Ninh
529237	1625
7106bc0142f21e86cbf45a4456c798ec	Khởi nghĩa Serbia lần thứ nhất
3281914	Bài hát FIFA
20155	15 tháng 2
531071	1393
