7c9440e10716d369554c9e59f2f76479	Språkrådet
da387854263b8182fd6b32e98902a1d1	Domingo Nieto
528745	Friedrich I (đế quốc La Mã Thần thánh)
9415	Nga hoàng
497285	Quận Guilford, Bắc Carolina
6a708d2cdc27b223a99ed61d83511732	Andrei Medvedev
96080	Arturo Benedetti Michelangeli
788315	Provence
361753	Bigorno
2024152	Anh đào dại
47310	Bánh mì
32203	Romeo và Juliet
f69dfb156e0449eceb940c8a5cd7152e	Chiến tranh Tống-Mông Nguyên
1242160	An Hà
28c97971e9aa46adf70e0908c9d443d5	Digging fhay Gold. A Sthayy of Califhaynia
6f9b2d9efbef65f3e6c1be2fc554af85	American Idol (mùa 13)
737745	Irena Sendler
87271e4abf597868b011535b7f800bf3	Mathers table
130336	Bầu
48071cc1e6b842775ecea300c3920a6f	Air-India Express
2461501	Chính thống giáo Copt
85b6c817759fe3391b57dc539636f3df	Hiệp ước Guadalupe Hidalgo
99549	.se
f3f4725d63e2fca07ec95e6e60d6a92b	Chủ nghĩa trung dung châu Âu
68951	Hùng kê quyền
af8b7a07165f56879ddcdbba1dfaafc5	Bayreuth Festspielhaus
ee96294ee488ac76bbdfd91bd9370598	Cộng hòa Texas (nhóm)
6bae6b388e72526bf76f8d038154fde6	Alfonso VI của León và Castile
3143170	Danh sách chương truyện Đội quân Doraemon đặc biệt
3640044	Quang Minh
332843	Làng Chăm Mỹ Nghiệp
531825	562
4969741a4c6c20d2a2ce58d9173e2003	Esther Stoddard
6404a766f41b390a87e4b61d069a55b1	André Weil
1445756	Thể loại:Sinh thập kỷ 950
8273460	Chính trị Cộng hòa Dân chủ Nhân dân Triều Tiên
fd5b90314e62c2ac766222926d623c66	Kevin Volchok
b6545364e44fead97f83ef5c1244f3aa	Birsbrücke
98247c8d66a1f2a4488c0791b20a9723	Đất thấp Đông Slovak
10ab690c34c3b66935360f8fe668b152	Tiếng Argobba
6558abda6a2356f5caa30b5406261b14	Hampton Catlin
febda7dd078d74c24ac97d58fc2b6918	Dương Hà (đường Hà Nội)
8840d10d6b7873e3320f5ed9c0bc749f	Bisphenol
f4f8d3732936e3fb54301dab3f93cab6	Activity stream
27319	Nhâm Ngọ
772385	Kroisos
730ed34dc47ae0eae47b550812b84433	Tuyến vú
62314dcbc0124fde6d70876f596ff11e	War of the Spanish Succession
57668	Thế kỷ 1
528304	Đại học Uppsala
24ecf06ec942b549fbd0fa58c7e1fca2	7C
ca9f063c82f49652757ca726970a4057	Bùi Bằng Thuận
8f2f8e4bf461e64b7817870723e26539	Bảng chữ cái Latinh Uyghur
210f131bea9eef12a9baa6de290e7f82	Alphonso III của Bồ Đào Nha
284801	Tam Sơn, Từ Sơn
3151288	Bede
084214c3e4807c1fa23f084e7ea98cda	Bành trướng bá quyền
396252	Julius Wagner-Jauregg
384669d6e29b8f2fb5f167b0a9a1ae09	756 TCN
be382679323e1f93ff0ca91a129b4ebd	Across the Great Divide (bài hát của The Band)
53546	Dudinka
c444c062f318253c46823fd7aa3aae12	Buồng lái kính
f0c53aa44c1464834d4c74c399317203	Thể loại:Mất năm 1865
90c8fa6e53a0ba7ee2601c73755eeac1	Naomie Harris
402390	Trang phục
758951cac5e62129e654698c8ca0333b	CF
fc5110151352e4ae89e6dcfe29f2ad6c	Atropatene
064ab9fa36f6851a01b4291f7b5f072f	Kẻ lùi bước
ae5dfee2647381fe4ab1af13a23102c7	Alicia de Larrocha
db212d0f553fd4326cd645baa3951588	Chef Goes Nanners
859eca3207a2d0534fcd92f461886a82	Dãy núi Maxwell
a1efe7ae741f2a9118fba6967957dff7	Aerial Common Sensor
ddcbef2ca1e8972e5d834101088d07d2	Alyscamps
2440805	Quản lý tài nguyên thiên nhiên
530828	855
1783442	Chaco
221cdb469d6c50ec7e30c36d488fd263	Eretnid
11531488	Ahmose-Nefertari
813589	Qumarlêb
306929	Bộ Cú
92196	Song Ngư (định hướng)
138154	Bắc Sơn
6d0ea78ac813b4e4a08a61e04f839f2e	Chữ số thập phân
722ba74e68ee11302a9bb9bc60612c39	AEK Larnaca
540711	228
36301	Tổng thống
24615	Hưng Hà
408424	Tutzing
1279557	Thập niên 220
229405	Hải cẩu
3299d6370805d77ed104e7a35222599b	Nguyễn Can
5164d92ab5979c78123b8689e60ac6da	Chủ nghĩa dân tộc Đức
530424	1451
243178	Monrovia
53772	Thể loại:Mất thập kỷ 1760
4367191fc95f1001d6ff01bb3b426cd0	Cầu Cao Ngạn
a7e202fd0b2505ec8eed536563e263b7	Mã bưu chính tại Ấn Độ
2411630	Thành Công (thụy hiệu)
24176	Myanmar
1e3576c804bb2b1cbf66a87b70b53ba8	Autumn
d7f2b707627660793a5682adf12cce2f	SEWA
1335496	Bello, Colombia
80f9f45e471924f08643a3039fe579a2	Mi'kmaq
1279588	Thập niên 520
9e436cc3344229033651f2b2ed96ca6c	Bản Bảy mươi
ef96b670c205785a6388812c3e34b655	Concordia (Pakistan)
531779	519
2325052	A.C.F. Fiorentina
38184	Libya
541566	133 TCN
531900	461
185005	Niccolò Machiavelli
499406	Daniel Powter
4711744d63ac81177b5fb86299ec7010	Chiêm tinh học và khoa học
17001	Danh sách giám mục người Việt
1737202	Chokri Belaid
1807172	Ilyushin Il-18 (1947)
1a2d0f59941929067589ced3ea3dcb01	Tiêu mục 48 của Bộ luật Hoa Kỳ
27307	Nhâm Thân
366282	Việt sử tân biên
a6852450f1456e36b889d51f62551954	John Brinkley
94202cc3e53c16089bba8c67677aa8d3	The Times Group
3150567	Huy chương Bắc đẩu bội tinh
9c93af69aecc0d5b8b03e7514923576e	John Gorrie
3677355	Symantec
236496	Bahram V
e4ea71fb9d63453e66303ca9a75bf5df	Bắc Transilvania
6d53acaa46338ca5cf49864dbfc22249	Bantu
76db1586b8f519e7b9c2c4c74eecf5f3	Tex Corp
9572377	Danh sách thành viên của The Beatles
af647f318b9d290d40b45f1cfce9767c	Bielixki
08c5dee396ae57ec819c818ef646371d	Trợ cấp tàn tật
1323168	Tepelenë (huyện)
751f2252843ce6d3aaf1ab14a86ad4ae	Thể loại:Phá hủy thập kỷ 170 TCN
160e23b95b8fc434f8f37ae53b9492eb	London Parliament (Monet painting)
0bb6c15ecdcce3ab2d2122acdc8e592d	Baraguey Achille d'Hilliers
1e7b272cb8a941892489766ced1efa14	Trận Saraighat
192245	Didier Deschamps
573843	Cabot, Arkansas
14752bbf8bac5ba6ba46adb7edcf38dc	Arrhenius equation
392224	1861
818607	Phân Viên, Chương Hóa
37a3db40c9cdfd4c908204d642500949	Hiến pháp châu Âu
345b1bce6f78f26bd8368fc489889902	Prosper Giquel
c25a593f23c953d24eadadbf6f5bf431	Bất thường
9115199f86f6527217bd875b667c14fe	Ali Larter
805961	Stamford, Connecticut
530591	903
1762836	Hạt cơ bản (tiểu thuyết)
323375	Cương lĩnh chính trị của Đảng Cộng sản Việt Nam
2431582	Linh dương Gazelle
2101	Giải phẫu học
3208604	Oberbayern
12317654	Phan Lê Phiên
25309	Newton (đơn vị)
62038	Hà mã
20292	22 tháng 5
452356	Châu Đại Dương
31f54a096b12eff2f5ed319078d8413e	Chung kết Cúp FA 1888
402233	Công nghiệp dầu khí
3701765	Amhrán na bhFiann
7fa84a55ba1c4e8d8cb9af0e29f31d0e	Bertalan Farkas
406300	Mücheln
62822	Honolulu
3509794	Dương Chấn Ninh
1249660	Mạnh Đặc Mục
c4c075fb05d92502cea80e07829531ac	A.C. Cuneo 1905
97cbc242c42753d9b2f2b3bcd13e66a7	Ardengus
229985	Homo habilis
294614	Djelfa (tỉnh)
504244	Ni lông
a7c59348b90d43be39079593f233e96f	Tu Bishvat
5e4644745134351d86debdebef620fc4	Các khu vườn Shalimar (Lahore)
524003	Nguyễn Duy Thì
80493	Chiến tranh Trăm Năm
1296149	Michael Haneke
575520	Quận Camden, New Jersey
9516047	Binh chủng Pháo binh, Quân đội Nhân dân Việt Nam
198437	Làng cổ Long Tuyền
476728	Ái Châu
df3ef03c0f645ff3ddcfd5e608e470e3	Hormon giải phóng hormon hướng tuyến giáp
6f8a55c28bff3d55565f9d78712a1e81	Chu Dực Cự (Hoài vương)
20716	29 tháng 12
2063ae80c2c93ee5f3ac7e9556c4783d	Hoàng Phùng Nghĩa
2cbcaa36c62f956b43443309829eb48c	Trần Nguyên Tổ
194021	Arthur Schopenhauer
b1159be2c807c50a516c8c51c744880f	Emmanuel Levinas
2265335	Nhục đậu khấu
2696	Quang học
49380c041e5c661cb412568dad73ea32	Thể loại:Phá hủy thập kỷ 1480
975cfff3dbd3f9e6d42789b1002a9060	Kế hoạch chinh phạt Anh của quân Pháp (1759)
af3c8a88a8981b4176aceedefa17f62f	Học viện tư pháp
8d88cbbb8cb71a4722d4e46568127364	Rolland Barthes
61ef8d2ffc1f4a237971472b882ae909	Asharoken, New York
107026	Nhà Bè
264641	Muros de Nalón
8ee3e556cf0cb69aec04577d54a3d2a9	Thạch Thiệu Ung
1614830	El Escorial
529390	1664
103549	Họ Nhựa ruồi
e659d3bede426c9e4dfed06bc6aabe9b	Augustus Pitt Rivers
86e593f4942943ce560db043cdd738dd	Deathcountry
1244867	Hương Hồ
2961484b690cf629b3a3b8ec51f39f17	Percy M. Young
807804	Viana do Castelo (tỉnh)
c6cc849907ef160aacb99f8427a5fac3	Adolphe Léon Willette
640273	Chỉ số giá bán buôn
20519	14 tháng 9
49ca0dd2a2f1c43542369c48b04fe1b5	Seth Pomeroy
2093	Hà Lan
13118	Bill Gates
804434	Békéscsaba
b0e3219b8fd03c0fc2c75803405b07b5	Bản Y Tông
26462	Trạm vũ trụ Quốc tế
1d99033095b9e5941da6fcfaf8b59ca2	Berdik
e2596074db78e8ec4b0332bfa2bcf3b3	Air Mali
847a00babcff7037f21a53d04775129c	Cảng Bố Đại
786988	Casaletto Spartano
2bf527492a27e19c05bf003d46586f97	Acid house
393f89f9355f8890786492fb9be8ebb6	Heinsch
130104	Hải mã (định hướng)
de4c07c052f3bd4900dae1ae1fa1f254	19 Entertainment
366588	Brigham Young
530592	904
107938	1955
821007	Bari (tỉnh)
46e5360bd8dcf8bc4ade68ddfceea7ea	Artemisia II xứ Caria
406263	Braunsbedra
22434	Chủ tịch nước Cộng hòa Xã hội Chủ nghĩa Việt Nam
13f7e82fd26b89d4e78e9e8efac836f9	Avant-garde jazz
319336	Boeing XP-8
2b99770fc65a72c54bbeb52deb1b19ed	Danh sách các tổ chức chiêm tinh học
6f40f1ef1e10bd66471df441f0857dc2	Công tước xứ Swabia
1406140	Quần đảo Eo Biển
5aeac5c335a7661f7cecccbd2b33b20c	Cas. Lek. Cesk.
71f5002e4499f7996b2d37d6d99ddcd4	Alabama (định hướng)
42913	Tên lửa đạn đạo
967500589ddc8658d86fac7677def2a4	Charles the Bold
19593	Thể loại:Mất 1738
3636845	Hoàng tử William, Công tước xứ Cambridge
12818	Chuẩn tướng Việt Nam Cộng hòa
5c419addfea6684f92a0a26ac96327e0	Little Hospital
0b5cb33b2f695e714d9c8d9fa3a09fc9	Aramea
48af854d46d455a7a2a9e4d4e7e2766c	Eddington number
116078	Medusa
1336770	Dacia thuộc La Mã
a11a5c40cbdd996b4a194ff36d5f2207	Ngày 12 tháng 9 năm 2007
71747eea05a4e7d156ccb661fbd58cae	Chủ nghĩa duy tâm chủ quan hiện đại
411332	Hartenstein, Zwickau
141441	Nỏ
78103	Trung Mỹ
c5102e720596c0355a93479276878b39	Carthage mới
98970	Tetryl
219024	Các lãnh thổ chưa hợp nhất của Hoa Kỳ
1696863	Vũ Công Kỷ
d9c79654d15e60af28efac3b6d189198	Mã bưu chính OX
1262775	Đại Đồng, Vĩnh Tường
d7feadce27f0e1396b602613f987f14a	Caroline xứ Bourbon-Parma
87d8dbc27653e776a7b331f38cb2208c	(Shake, Shake, Shake) Shake Your Booty
55d551de2894ec77f97daeb793dd7cb1	Lưu vực đóng
1675836	Tổng công ty Phát thanh Truyền hình Munhwa
a560d4ffe0b086d64cb4d444748ff3cc	Bão Nari (2001)
01979dbfdd2da1bf2739c6d255486765	Jōji
627491	All Music
a7f4606e6ee08187d9105e7b33d265a1	Latin pop
250102	Bạch Thủy
baa2df59463145c961744274e4898d74	Công quốc Bretagne
433200972d5f4a28411c83cdc29300a6	Commune của Benin
9af606ecc5a5cff1cb05cf23c4f2173d	Intuit
dbedd91b85754b28c1a9516cc03b8aff	Hang động nghệ thuật thời đồ đá sớm ở Bắc Tây Ban Nha
517178	Baha'i
374195	Groß Luckow
82ca7748bdecf8b2abc5d326ea0dfb7a	Philo của Byblos
577547	Ichihara, Chiba
802826	Chagang
1439679	Bắc Ngụy Tuyên Vũ Đế
260c0c729b95dcf3572425974ce92ce8	Chủng tộc và dân tộc trong Thống kê Dân số Hoa Kỳ
6fc39eea2fad43f39f41272dcc5959fb	Koiso Kuniaki
b8586fe78857bc375d5a3eeb575dccfc	Daedalus
4c78f3da83383ffc9537039a23f18fa9	Thể loại:Kiến trúc thập kỷ 530
11198	Hậu Giang
76e9e745df29995352649809e22e3e0f	Genetic drift
8deae567b95b4b7c9e0cc3451964cb47	Shāh
103220	Hoa bách hợp
d717ae89acb8d37b38dd42edee130375	Kiri sute gomen
b37f409c4050c171c7e1c92134a19003	Danh sách vua của Iceland
359160	Hürtgenwald
461441	Acqueville, Manche
239514	Xuân Sách
132032	1898
af43f4a9b068b9946ca84e8a3d7f1254	Hunter Davies
531343	603
7e2e189bd560f2883ca59a4489e59d5d	Caronia
b430b889fb5f0ffb53bfe830b654510f	Aethiocarpa
644599	Cánh cung Ngân Sơn-Yên Lạc
42732	Hồ Học Lãm
544036	Nhóm ngôn ngữ Semit
3281766	Egon Schiele
20151	13 tháng 2
fb5b04fbad5e28efbd6a44c4408cd473	Bank card number
937bd7174cc6f72fa8111ccd8aaf2223	Cách đề cập
53793	Thể loại:Sinh thập kỷ 1860
2614	Năng lượng
578330	Thập niên 1540
ed273b3f3cd68a6fa15d644f403ebd05	Azerbaijani jazz
490d97f33c7a4f0356efae35f73acdc7	Archaeoastronomy
2324135	Northrop Grumman KC-45
412869	CERN
251824	Nguyễn Đức Quang
1250208	Lộc Điền, Phú Lộc
fa29989c6aa6d06aa0c59ed45c1843be	Donald Teare
544095	Torah
367966	Lê Quýnh
2749f636f3d39918a7cc6e9af71ca61b	American Community Survey
586530	Leirfjord
0086834b24a04ebf5e73f640266925ad	Phạm trù tồn tại
408052	Choi Siwon
53733	Thể loại:Sinh thập kỷ 1580
530951	1350
127814	Albert Fert
212c212bb6fd45032f3c41c4696e3753	Bố Diên
126623	Bình Gia
809903	Hạc Phong
491187	Nguyễn Tự Tân
a2366bc6af707c4294353509491a7c7d	Huy hiệu của Chełm
1336691	Västerås (đô thị)
dbdba3aedfa6adb99d583bcf823007b1	Cherry Red Records
529954	1289
9d6e8bcd8d14f34ede1adf5b78c548b8	Erzhu Shilong
392161	1829
0c5b62eb60d3a31a22fef707e0825593	Portus
b32a526c6c83035bc125ddd0fd139f45	Cống Vũ
75517	BGM-109 Tomahawk
0957785e2567eaa641b435e4f5e76922	Di sản của Trung Quốc
132403	Bạch Khởi
12486208	Bán đảo Scandinavia
d119e233cb3b9abdb1d971dd7fe45227	Chiến dịch tranh cử tổng thống của Joe Biden, 2008
309169	Castel del Monte
541516	101 TCN
00b45c19d5287b2506e488eebb213e1f	Cerro Macá
793311	Giulio Natta
578333	Thập niên 1510
aea62f19c10cab38b9e0cb76214d9cbb	Cluster (ban nhạc)
105957	Lư Hán
9fe86c6ee35c3a5a362d8f1833240b31	Bộ trưởng Môi trường (Na Uy)
67e48f74596835a0e3536835187395b9	AM Entertainment
ffe8b7be372110d60dbfd36003a8ec40	ISO 9660
2397596	Bánh tro
319659	Đinh Bộ Lĩnh
1250500	Mẫu Sơn, Cao Lộc
569f9a7ecd0d77c6f16b7a1934eaa276	Ela Bhatt
309708	Adobe Systems
250152	Nữ giới
786443	Thảm sát Srebrenica
122107	Chỉ số thuận lợi kinh doanh
407003	Bánh xe
dde42c2162415ecdbd860c71cb3057bc	Daphnis
47529	Thế kỷ 17
640aa9f1799cd5499ecac56fec2a5a70	Elizaveta I của Nga
24485	Claudius Ptolemaeus
7599071	Giao thông vận tải
1645784	Lỗ Cảnh công
d6b31554cc619f90300f736a7a3b3aec	Bầu cử Tổng thống Hoa Kỳ, 1860
3640627	Indrasakdi Sachi
5c73d975880d0ad0c1a021be58cf389c	Thể loại:Phá hủy thập kỷ 1950
786120	Catherine, Nữ Công tước xứ Cambridge
4174ae27da2f1e3f20bbdb144db7df14	2,3-đimetylbutan
06faa279f53b106c5324b891cb5d4b10	Hoà ước Aix-la-Chapelle (1748)
378400	Lính tập
459756	Rudolf Dassler
68b9a839dde3b6f1e628dd812b6405eb	Queensy Menig
23b85bb3aef2225bff1c06afb52cb4aa	Đại học Bristol
233615	Antiochos III Đại đế
582c5e8aa4f92838943ee8149a61cb99	Dahlem (Berlin)
16110	Encarta
37d069373524510e15f57fe7c4159229	ATRAN Cargo Airlines
c1d4ae7640c2eecb1e341d2732660082	Cultural ecology
1ec32ac7a88e6b659a0052f5c6ee82e1	Kỹ sư canh nông
2222445	Giuse Maria Nguyễn Tùng Cương
83176	Chiến tranh Nga-Ba Lan (1919-1921)
1717528	Thể loại:197 TCN
4dbfe0f86d05852239f7a2772994d892	Asiye Güzel Zeybek
8656c236ec45f5d64818f0736aeb4bd4	Bối lặc
2462771	Các chùa ở Ninh Bình
2437061	Danh sách máy bay-X
70173	Bánh rế
0a3213554e720c23a16d842c11a0e7a6	April 23
621b7841c5b880e91cc9ac0694018a9f	Hiệp hội Sản xuất Hàng không Voronezh
679baf319e5cb23866281addd540f34b	Thể loại:Sinh 929
12675705	Số nguyên tố an toàn
cbcec64e07666dd672e70950637e0361	Bồn địa Địa Trung Hải
3392613	Bóng đá tại Thế vận hội Mùa hè 1908
1749272	Tiếu Thục
a18cc8a784a25eebd0628e5e424bc9ae	Castlereagh (quận)
330667	Almería
1261694	Trận Cầu Giấy (1873)
ebdd289de3c29b8f3eb06aa77d054d06	Chỉ huy Kị binh
602925	Người Java
3908d8a1f10098901a47fc3be2486c9b	Huyết mạch
05476181429d89a32843c02ad7b8a7ea	Chữ Pahlavi
3a8a5b6801ceba2bb39faba4f4fa5a7b	Aeolis
382e8c6ab53883708b49cc4640f34e0b	A4 (Croatia)
44920	Lucky Luciano
d62c5f822b1db46e51f48cac3bfad584	Daimler-Benz AG
fd4105906d9d7a7398872484cfa15822	Basotho
d7839e9aa030cd963be7455b2ec523ce	Hiệp hội các nhà vật lý Canada
a84055c0a277bec27a4cf90828a5c563	Museu Picasso
19db611103404fccdc2cb8121494f903	Edward, Hoàng tử đen
bce7638c4ae0feefbcdc872603696843	Hàn Kỳ
85f3159b96f3b8b40281181173c755e6	Động vật dưới nước
c6945c1b1eb35d94eb3acf39b92cbb3d	Korina Sanchez
3636043	Cryonics
1683515	Chi Cá heo mỏ
f534bb5707064b2f1f8cb7eca44b7afd	Nguyễn Văn Luật (Đại tá, Quân lực VNCH)
63008d32eb00d5d4c70733280533011f	Khách lữ hành
0c7e75ac77a65237af79d68686649be4	Charles de Saint-Évremond
6ff55543d29bfac85326412c3acc117f	Ayesha Jalal
1750799	Diên An (định hướng)
3244221	Nguyễn Hữu Tiến
68f21f62a558785218a1b841e679b5c5	Catherine Barbaroux
7ff95fdedff11d9dfbc5ca7fc5f7b8ee	Donald II của Scotland
65593869360149ba8f8d2f5235a818ec	Âm xát hàm trên không kêu
f9289e1c7a3854dce18c0df700937060	Michael Freeman Claude Jacques
a7bdede446dfa91acfc2e7a9c964cb36	1 of 1 (album)
7b55e03efa3fc8fd2b14e8768eb01343	Pomponia Graecina
231167	Chiến dịch Huế-Đà Nẵng
3640408	John Hurt
aba3582354abc605cafe2220821411de	Anton Köllisch
eaf892f072c3cd823cf32cb451ca2505	Baghdadi Mahmudi
327881	Hua Hin
db77a193049b1fe6280d19898bc4e471	Calhoun College
38173	Gambia
1478268	Almada
530268	2011
f7627739579be93e1a1c2446fc61961a	Thể loại:Phá hủy thập kỷ 110
442322	Amdo
504405fb03fe7519a14a6d2ce11000fa	Navajo
8241c738db12ece7f2020351c7e9fc38	Boomerang (Ý)
fb84e915f863a56b3d51a1547453a1eb	Anne Caroline Salisbury
1749397	Tazaki Tsukuru không màu và những năm tháng hành hương
92467	Quân Giải phóng Nhân dân Trung Quốc
89d1d691b62c38b8b047595b93cbf609	Chùa Khánh Hưng
1439806	Bãi Thạch Sa
3216378	Bộ Quốc phòng (Việt Nam)
1741898	Lý Tú Thành
541532	116 TCN
9545444cc41fe0e99ecabde663ba19a4	Thể loại:Thành lập thập kỷ 990
26842	Liên đoàn bóng đá châu Phi
34093	Trận Di Lăng
a53d46d23e776c016e1bcb2d7a8d4cda	Anna của Bayern
021249e0bed41f965d4f1c08884f01a7	Bride price
2217610	Công chúa Quán Đào
3687769	Định danh
a154ce0b87712a6339c33c9d772d53e3	Dương Bân
39aec3a38a2f3a5a6e776fdafe1243dd	Argus As 10
530131	1109
f77b0bbbbf524e06e1e6ba180233d663	Nhóm ngôn ngữ Circassia
1057667	Chiến tranh Việt Nam-Campuchia
1709914	Nguyễn Thị Hoàn
2624bce178531a576f08f2467a64676a	Cơ quan Quản lý Khẩn cấp Liên bang
91115	Cuộc chỉnh lý tại Việt Nam Cộng hòa 1964
6c5635f39be2671782ade4f0e1609247	Gallia Aquitania
155228f20bba528d6da35e44a3851d9c	Chính quyền Ohio
576863	Allura Red AC
407382	Kali nitrat
1279661	Thập niên 180 TCN
6f92106efaf72251961ca1ed89d6cee1	Baha'í
459110	9K38 Igla
11011de789005a23b2361b6f2fa77586	Chùa Dàn
110602	Thập Yển
778807	Liêu Thiêm Đinh
406834	Basilicata
209f563b1f3df52cc4ac0351fdf91c4e	1890s in Western fashion
ad86c671c90e1f0f2a414f9d5e672194	Sắt rèn
57846	Rừng khộp
51a4567dac236c5b0a620ba960c2ee27	Mendsaikhany Enkhsaikhan
148846	Chùm nho uất hận
7104353	Luật Hiến pháp
48481	William Wilberforce
30992	Immanuel Kant
d6096ca0727a7a1d61de6cdc5f7940ab	Chùa Non
50363	Pharaon
24349	Ca dao Việt Nam
b8dfe1c81d67e166f8f796cac266b010	Cinderella's Sister
52b50d9e274f59ecdd20c6e9029050c7	By Way of Deception
57d914737e941af414b5bfdba06fc903	Cung điện của Shirvanshah
11883	Bồ-đề đạo thứ đệ
5192c60e3fccd5661498f334962b93f9	2006-10-19
16314	Hiến pháp Hoa Kỳ
5711a8013355e49a323800fbdc536635	Lotus 1-2-3
889ec3b2fb0d2724bcc92cfa44b1a672	Gödel's incompleteness theorems
235305	Bảo Tĩnh
20246	27 tháng 4
2219127	Ernest Lawrence
45594bdb1db45e6cee2d337c4e690812	Greg Fischer
778391	Chó dại
235773	Ashikaga Yoshihide
3289654	Phân cấp hành chính ở Ấn Độ
32184	Sao
755d02925b40c2665de1477f8f34efc0	Giờ vàng (ảnh)
531803	540
9b52c6e8e93c31981af714049de27357	Chiến dịch Ai Cập-Libya
528903	1742
3349628	2080
1ca26cdf54358e11287d1e7ab95e13c2	Buộc tội
02a9d63307247c9e4cfb26e6a54d2439	Álvaro Obregón, Michoacán
530787	833
529605	1524
0e196bdb12bcd822716468d2807945aa	Andrew Roberts (historian)
6ed42bb7da55d4974866de139c867809	Jack Reed
46ab3ee773694b59d830b2d811a06670	Arthur Kutscher
131256	Điện ảnh Mỹ
c463233db78f004d0a0f5a46fdbf69ee	Almohades
9cf73c3a71180dfad49005b64fc50abd	Bhavapura
27c8428808f1cafd2eed0d1f6ec3fbdc	Tư Mã Trinh
a9f7365082d0dc9331199bce80d56593	Cuộc chiến tranh Iraq
58b58898853e50e8b4acf76d5cd5594b	Farsi (Ba Tư nhà khoa học)
d7f7fb29d188d2f88de0c6b145b537ac	ADAHELI
94544	AGM-119 Penguin
20610	29 tháng 10
188335	Hiđrôni
9f4fb60f56a7235ac3e010af3ef190e4	Chu Hữu Chương
3702953	Ga Tuy Hòa
60267	Detroit
3e72ebadb4424da9628bbe2051721618	Rupert Stadler
198217	Luís Vaz de Camões
8914fa4926641df00f1b2a4fda3f0782	Attic
a51fa6986bbe09e8f242c7752700a9c2	Andrei I Bogolyubsky
1439697	Nguyên Chiêu
dc291a05a2ffff2ecbfef56dcf99fb51	Blackheath F.C
643139be5177640f7d4aaee3d028a632	Cinnamomum aggregatum
235784	Aleksandr Vasilyevich Suvorov
184312	Eure
86326ddfc020b3d0c6d59477687c4b77	Chế bản
e07deea188ad5fba49b80325ea183343	Cacongo
1a33e723900afe939349eddd59cac14c	Emperor and Galilean
810142	Benguela
2260376	Kamov Ka-226
286450	Gơnai
fad1b39c95ab2b08fc5db23ccd2df8ec	Lốp xe
406286	Geusa
3214581	Dê Jamnapari
073df31e73d39b8d7fbe4707a56c2277	Bùi Vịnh
1ace3b7e8eb49157c3fdabf8ffb46467	List of Boston Public episodes
71587	Auxerre
529895	1233
529955	1290
8cecfd14136fdc3d14b70ab292f7ee70	Danh sách các toà nhà
353731	Lịch sử Nga
222457	Thiếu Sơn
40905698d62461efaf5094ab4a48c803	Danh sách quận của Virginia
1654994	Mimus saturninus
6d5fdb57732122da54fad9f4d0cbd9be	Bùi Đạt
131133	Hoành Sơn
30aaa265c63b78241fc9f93b85b68994	Alfa TV
103181	Adrien-Marie Legendre
ea985e024088e3aef889363103099c40	Chữ số Armenian
281467	Giải Emmy
200849	Đồng Trị
bcea417e92e6214a707bcfe01e7ee54b	Singspiel
a26c4a8f896cbbfa9867e9082d50fc95	Thể loại:Thành lập thập kỷ 2000
5b5d091798129932bce8d3903c067010	Kyūjitai
53f0d39010a93527d07440c9cb8efdfe	Công chúa xứ Wales
1436945	Nguyễn Viết Thanh
431bbed489649abd8054140c9ef7be2e	Bauan, Leyte
8fddb4ad5e0a392bf40efba15ba7509b	Antonino Zichichi
126195	Bab-el-Mandeb
3e917dd437c9af3c2bb2b5211651f4ff	Carsten Anker
8b3e6ccbda6afd008f26042ef1d50906	2007-02-02
3661092	Công cơ học
a6a208d87a4680bef82574e09308eddf	Anastasia Romanovna
349564	Caibiran, Biliran
826146	Giải vô địch bóng đá châu Âu 2012
87cbd47a5ac6ef98d1ac7b9ac1429267	Constantin von Jascheroff
c9a9a99f8a643dbdf7e304d2dd0abf70	Các trại tập trung Holocaust
ee6757d629fdecfb02aeed1e7d23c9ad	Mặt Trời (chiêm tinh học)
109	Người Mỹ gốc Việt
f0b8ae632c498002e183b811e030ef24	Carl Stumpf
d1e6c39c4d7e7c955372c940e6a26e35	Edison, NJ
6fbc6973b5374680b4f46ce800b60c19	Chu Huyền Báo
818551	Victor Grignard
672553ab2ffcd347f4400a3b71d2bf67	Julian Alps
333491	Bremgarten bei Bern
98eb530ec59ecc539563d97941326577	Bertie Mee
191488	An Ninh, Lan Châu
3511260	Bang Lucerne
660d46202c8f9d381643f3ab12b0907d	Ricardo Colombi
10d8b221dba2496c5bb4b9665376b6e7	Axit hipobromơ
d05f97fc4e6dd00afa8fb6ba2ae59916	Alexander Downer
529012	1619
40549	Cương cứng
50992	Hoàng Diệu
3384a67f1155e4d6c817318a1e36c605	Georg Diederichs
23784	Heracles
532100	409
a3a86b224f59e4d60e41fe72470a8082	James Wolfe
747314	Basilan
2262137	Mao Bá Ôn
c011ede4d2be8d4570b651df4fedbfdf	Phát tán
406266	Alberstedt
846f0ea450a9fc1676f3cf292a8799b7	Đào Quý Tịnh
20515	12 tháng 9
d577ad1e25dc32838aae84fcfd3668a2	Iron Gates
358040	Kirk Douglas
20281	16 tháng 5
1be6cd3d2c020593cb5f72a24854d5d2	Diethyl ketone
605d4fe17a37de0004480c1f6c0acae6	Tội phạm chiến tranh
6be6178d91de94237c1b3d7fc9c41c69	Written Chinese
