df69b432145cf003be7cce77cafd4d22	Phong cảnh
530224	1085
fb98cee114482f767026f63b6cf01cfb	Black Brant (tên lửa)
41859	Lê Quý Đôn
d89adca2f48ef3d4dada72b828bf4ab6	Các đơn vị tự nhiên
4666	Hưng Yên
135994	Lục địa
141441	Nỏ
3549b5f8dc3aa1b678a71e147f35b8da	Liên minh chống Pháp thứ 4
1a045b366139f55516633dae8d5c61ff	Australopithecus garhi
49145	Hoàng Hoa Thám
1478276	Amadora
20200	6 tháng 3
7f2a5991e31789ff53627c4c3188b037	Cống sanh
119478	Chiến tranh Nga-Nhật
708367	Erosaria lamarckii
205338	Chỉ Giang
383599	Pyrros của Ipiros
d204abb79c04692ee0e541ff3cd80944	Martín Tovar y Tovar
ac1c5b73c3527a4f912c38260fb9cfb9	Frederick Baily Dent
b09ff5a5ed2d0e2bb3caa13f948d9447	Thanh triều bí truyện toàn tập
529391	1663
bef286a6246666f474633546c90785b4	Cuộc đời của Shakespeare
18803	Phục hưng
283d53462a495ac6998dc1415459347c	Delaware Valley
847a00babcff7037f21a53d04775129c	Cảng Bố Đại
63997	1974
810470	Genseric
e82f5024567339f393ec8e07debf5eda	Sông Hotan
53788	Thể loại:Sinh thập kỷ 1840
579229	Ban Cán sự Đảng Ngoài nước Đảng Cộng sản Việt Nam
38762	Azerbaijan
08e87ac3ddc81cb33f19b1aa4f47b9c7	Vật lý và Tuổi trẻ
15373	Chiến tranh biên giới Việt–Trung 1979
543973	Tiểu sử
11848	Ha (định hướng)
816588	Thời kỳ Đại Chính
307267	Bão băng
76080	Nhà thờ Đức Bà
19568	Thể loại:Mất 1726
299b36070db583f6e401426a08840f3d	Làng Oeam
3692178	Lặn có bình khí
5778	Giấy
ad9feba78ae01f3cbe728973a19ff067	Minh châu
e18e316a3c6cb370eaa90c26df2254a6	Cao đẳng Balliol
b2d84cce3761b27db6d326aa6301cb38	Chủ nghĩa phong kiến
0a11c58db7d0bd11011e58ed0a0810b1	Bethlehem (định hướng)
1241543	Bắt giữ electron
34099	Châu Ô
1747325	Paul Valéry
558873	Bắc Á
137766	Danh sách tiểu bang Hoa Kỳ theo cách viết tắt
57273	Chủ nghĩa kinh nghiệm
fe401fc1d7e6cd12ef7dafae7e8f3df6	Barrios (Buenos Aires)
5c3b04e1649dd1edbea238a7546f88b5	Transsexual News Telegraph
8212d037694e757007319749314d7d06	Cột đồng hồ mặt trời
144296	Chiến tranh Krym
116388	China Eastern Airlines
cdcab8dc81729eddd356db932690fd00	Cung Đắc Thụ
7a757c124692d7e998a4f33f35bc7e54	Bóng đá tại Thế vận hội Mùa hè 1964
2426263	AIRES
30bd8b1eeef20ffc23ffbcf4e31e68e9	Thể loại:Kiến trúc thập kỷ 1850
9f9a343d4d1aa40782a8acae95751eca	25 March
27ea4938fa471d58e346df812d0fd187	Asociación de Scouts de Honduras
316765	Hồ Phỉ
62813	Khối Đồng Minh thời Chiến tranh thế giới thứ hai
812234	Ngọc Môn
541031	623
f325c71cc3eba465d84a26811d5f5dad	Du khách
718ea2b70fc3d7be9057dfd4c795cc08	Carthagène
d31ad0f9a02675dc84327d17011eb7ed	Gaius Gracchus
334385	Barcelona (tỉnh)
2365675	Camellia brevissima
133854	Du lịch Đắk Lắk
815471	Ferla
5641ded5c6ae9a17a4f5a6653886e4ff	Alta California
3277991	Giải vô địch bóng đá thế giới 2010
f761cafb118e05452fc1572fb689e766	Freycinet
46daf363ccb119c012f6f1257472d568	Tiếng Venetian
3328efe3376bdb10772e283f4fe040d9	Constructed wetland
7b832aa71e126022103f1d3009c436cc	Macropædia
05b9ba475b9a2788979f2a37473c853f	Ngoại nhũ
11647284	Difloxacin
627376	AllMusic
807086	Fergana
42085	Eo biển Gibraltar
67723	Bandung
109545	Thể loại:Mất thế kỷ 17
14010	Chất bán dẫn
457374	Hệ tọa độ
783d8f27ce0fcab33de89e2aad054368	Anti Suyu
1316057	Aoulef
540865	97
102498	Danh sách hãng chế tạo động cơ máy bay
7761a1f3412563c910f49ae61d1fccc4	Bojary
44f3ada003b69e64469649989073ad8d	Tiểu Á (định hướng)
20135	7 tháng 2
3674793	Cacbon mônôxít
5d287e141f6ffb2c010750a4bcff6741	Chiến tranh Illyria
108308	Creole
7bcc8a8eede55bb67a789e294e166ccf	Ahmadou Ahidjo
345875	Euskirchen (huyện)
530180	Thể loại:Mất thập kỷ 100 TCN
580e4b362fd2dee12d8181af0fb96b5d	Freiherr
578426	Thập niên 1100
7e94481ed0bd77c61ff266a4ce48b0c2	Arawak
574180	Quan hệ xã hội
be17cd4103dd638e3bec9a25ecc91e6c	Bút chiến
2260947	Francis William Aston
d4234d02121643f3ceab1cdccb208665	Don Republic
61442	Người Tráng
399283f9fd8398a81eb4ef71ba775df0	Sông ngòi Trung Quốc
172897	Danh sách quốc gia theo chỉ số phát triển con người
250824	Ankara (tỉnh)
20589	19 tháng 10
63470	1990
cb941bcd4278d53541e7e2c74a3d616c	Cabaray
414765	Adrian Mutu
453dfa5888b7e3af1c23b1d489e578e3	Guraxin
a7486fad0e63db58af645f7384f717de	Cảnh sát Hồng Kông
1aec1352ce6ef3669a17485fa394c817	Hốc sinh thái
813850	Portland, Maine
28837	Khu di tích lịch sử Kim Liên
24841ff52bc981d9a5b98310f7fd3440	Bầu cử Hội đồng Bảo an Liên Hiệp Quốc, 2016
9576	Hóa keo
93bb84e5110914ae025593c40408ffc3	Tập đoàn Goodrich
b4fd28ff36f6536422bb2aa91493fa79	Thể loại:Sinh năm 1870
22a7fd6cae1bf52fbba6fad6885a417d	Cờ hiệu dân sự
2356599	356 TCN
702802	Vua Đan Mạch
1279519	Thập niên 20
aaf3b2b47eb3c2f21b6633e5e59b28c9	Coto de Caza, California
87318	Bảo tàng Lịch sử Việt Nam (Thành phố Hồ Chí Minh)
6671d54783730332917d8136f299cf77	Devanagari alphabet
a7720929d04be6bb3a172a4b38906e43	Khuỷu tay quần vợt
c31840e7c3733e71197d37bbd20ad9be	Giovanni Sartori
497236	Bahá'í giáo
422076	Biểu quyết
140167	Mạc Kính Khoan
c06fb3903c22f0316b3f1199db668ef1	Bithynia et Pontus
87342	Tưởng Giới Thạch
32852	Che Guevara
523805	1791
96842	Mãn Châu
9abc76763939d20ab8103a1e49c3c1e6	Fatimid
3402441	Charles VI (Đế quốc La Mã Thần thánh)
314358a6c50cb8e2a4ddf477b8f7dc8b	Dàn nhạc Gewandhaus
143481	Kosovo
024b2b790d6ae6c10804a2a25d2c2315	Dòng chảy
be528b547f57d8dc81d9f6722fe053c5	Al Khalifa
d10e81cff05837553ceef73d70bde0f1	Bolognetta
e9a5656e88c69aa1dab1e88ca1302c84	A.Laborde
3277928	Cộng hòa Nhân dân Trung Hoa
4311	Tần số
292337	Rama II
d1bed731406ef183a388593f0d2b6167	Hong In-bom
45588	Lửa
9957	Hán ngữ
9304839670c7ecf50e6dd67e3630113d	Gordon Campbell
7c417b150ecfea251de2e8daf16c823d	Empress Xiao-Yi
25620	Nam Phi
111398	Báo
d3fd0d5e86b7705671b0af1173a032e1	Trợ cấp bệnh nghề nghiệp
61281	São Paulo
86848	Ngô Thế Vinh
190384	Amenemhat IV
2fa6161e1ac613367f0f9c93f8bfd48f	Trường phái Êpiquya
86737	Thanh Oai
e0743b912393b59cb6ddae69a44a5b47	Aumnat Charbumchavalit
ce1fa8286e464d575c9695db65ca76ed	Atlantic Oceanographic and Meteorological Laboratory
0d85667a529afdf454895b9b2e4d6d4d	Menschliches, Allzumenschliches
92309	Vạn Tượng
644661	Nam Đầu (huyện)
e8acbea808fe55b16f0fd824e6d4221a	Cornell University Press
530061	1164
5482651ec8b4dd8bf5d84a300a464b8e	Antonio Negri
271a6d9e8de98494455d211b359d9394	Marja
1e97ee1854f064357005d7999024f3fb	Bộ trưởng Chiến tranh Phổ
494e038ffec5332d2bc060f8a6f640e9	Thể loại:Phá hủy thập kỷ 1220
2b03fc7e63d91e8e377d89bdc7af0f94	Deoxycytidine monophosphate
123749	Pompey
1763302	Hoàng hậu Silvia của Thụy Điển
36961	Piano
76441	Không quân Hoa Kỳ
2290888	Rubens
16330	Anadoluhisari
2786bf54d903d2b04f34ff56af264867	Ada xứ Caria
b9486d670e3996d2f7d686cfc54fc084	Charles Laughton
6bc5ace298ea2b311c2357aaff4fe84e	Color vision
528927	1761
cd3b6cd17f51f94f28d74ba1e0a5cc0f	Hệ đo lường Đế chế
1d84f40711e24878b3f11624bacdea0c	Chu Kính
3339304	Báo hoa mai Zanzibar
c200c6f86568de2a4579d85431a6a90e	Anna Komorowska
172818	Lục Nam, Bắc Giang
fdb12938bea58d515438fe0f926f9166	Sarnia, Ontario
6717	Bình Ngô đại cáo
da7d741ed34d3c0b7670e91b823e3173	Garland County, Arkansas
914	26 tháng 3
700489	Bremerhaven
432882280ac40fae6a9e314dfce058bf	Giáo hội Công giáo Quốc gia Ba Lan
bf1b2cf9965945018f1020c42ba5f217	Maurice Boitel
e8dd7f1ba0fa6a85d22953e35f1d339c	Leewarden
edd398c5f944fea02d7cf31ceac1a6c5	La carte et le territoire
3149517	Chính trị Anh
401563	Bischofsgrün
1609758	Giờ Đông Âu
827177	Công chúa Bình Dương (Hán Cảnh Đế)
203102	Thập niên 1940
819524	Tàu pháo
8107afed33e602794907e54aaf4a5a22	Georg Steller
94176	Đại học Cambridge
297240	Cao nguyên Iran
176235	Chiến tranh Nga-Thổ Nhĩ Kỳ
42d346f22274dcff52c108f28d8ac897	Ampersand
212850	Duyên Bình
24b8f7c17f29ea4dea62252801f99e93	Claudius Smith
58cdeda7586c29e0aee8031ee9c90e77	Hans Fischer (họa sĩ)
413396	Allianz
a93312829ec4c71aac461cec296faa0e	Money
839004b1ed028561758c8b231bc53bb1	Berbice
832ec53eb64b436a14398425555fc9fe	Ahmed Zeiwar Pasha
3243025	Phiên Ngung (địa danh cổ)
2361701	Hán-Nôm
b82e5ba5ef6dec277880accfada0a8dd	James M. McPherson
66117	Khí
35352	Bóng rổ
c6ffd6d38e3249c3d9005f34cd9f6244	Cutin
334034	Denis Diderot
558527	Bumthang (huyện)
810448	Bắc Hải, Tiền Hải
33986	Bùi Thị Xuân
333950	Diệp Vấn (phim)
797180	Bình Hàng Tây, Cao Lãnh
788700	Adele
1746925	Long Châu
455049	Contrisson
549266	Baton Rouge, Louisiana
5402	Hoa kiều
1750363	Cuộc chinh phục Britannia của La Mã
8c0214105e789ec99696704bf9f3dfcb	Dương Khuông
17745	Thể loại:Mất 1917
51959	Ngô Đình Nhu
63328	1993
44c29978e3853e0234582efd5c48e518	Brda, Slovenia
3198316	Binh chủng Thiết giáp Việt Nam Cộng Hòa
1ec0af971d6506678bd2ab8cf0946b02	Eduard von Hartmann
6a79078d221f071732d3dc7d55a26946	Thể loại:Kiến trúc thập kỷ 1530
69622	Chemnitz
232852	Giai
191820	Daimyō
182e5e6430ad96b621f0d097cd274211	Benedicta Henrietta of the Palatinate
16139	Concerto
321356	Grand établissement
46928d0492fbbd3ac14517a1d606a83a	Artatama II
405752	Chủ nghĩa siêu thực
187420	Bahia
3256282	Anna Magnani
2199515	George Atwood
3172271	Bùi Thanh Khiết
9d3936cd85f53a1ae4a748e82947be05	Cuộc thám hiểm của Thornton
138c8e4a3e36b9e10c02299c7b0ab1fd	Minh kinh bác học
98323db1ba9dde96d6eaf77a47cb16e4	Henry Kater
4e498beba1e7036d55ef956e2bb8e11a	Friedberg (Hessen)
145848	Dmitry Anatolyevich Medvedev
150959166eaa6c0ad78f85c408c27bfe	Lịch Bắc Triều Tiên
1744346	Huyền thoại
796391	Danh sách dân tộc Trung Quốc
862f23cbad0457f2a41ebcbe4a9de259	Chiến tranh Nga-Thụy Điển (1741-1743)
12053337	Diệp Vấn 2
1678536	Bù Gia Mập (xã)
2fc8fe6d5b8629f552ee44b475b40507	Sử gia
26812	A Lưới
20537	22 tháng 9
9494d0c9427dad94664d3dd990934702	Clorit kali
1211320	CAF Champions League
111181	Trường quyền
3224382	Bào Tín
2462490	Bảo Chấn
1250541	Minh Hưng, Kiến Xương
49a16adbc5589f2f5defedda99fb3395	Sông Kashaf
3642335	Alan García
782685	Niên Canh Nghiêu
234233	Lê Gia Tông
0f92e9170c848183b9f3cdec4b1202ae	Hiệu kỳ của Edinburgh
c83e8541f8baa07f767e38c5f6d92f79	Thể loại:Thành lập thập kỷ 1270
1691	Hoàng đế
130161	Quang Trung
158f2b7208c5c78a93d03652e84a55fb	Giếng dầu
3211047	Bột Nhi Chỉ Cân
9b66840bd41e5372dd6e9b135f50d412	José Bustamante y Rivero
813808	Belford Roxo
794158	Tương quân
3671867	Gilles Deleuze
8c0d01fe8da4c54e975c4e4aa482a11f	Mã kiểm soát Thư viện Quốc hội
416944	Tatarstan
527239	Thể loại:Mất thập kỷ 20 TCN
968911	Đông Bắc Á
1238986	Hòa ước Thiên Tân 1885
190388	Quốc vương
e2e0e681593197b6bfb5fed71719909e	Hồ Athabaska
52290	Trương Minh Giảng
64462	Chi Thốt nốt
519303	Chu Do Lang
529358	1689
3636043	Cryonics
32217	Jaroslav Seifert
24c0959c93411fb3e09a730e548cb531	Chuyển đổi đơn vị
77744	Tiếng Mã Lai
376887	Kokuji
12453130	D.Gray-man
dbd694402be22715d6ea5acca653cce8	Council areas of Scotland
54253	Bulgary
800780	Bar Kaev (huyện)
10698	Latvia
490950	Chiêu Tông
c6fd0144c3d65e512751c5b217aee361	Ascraeus Mons
529742	1320
116081	Lê Tư Tề
9b585e0da8dbb4026efb52596d303957	Bộ thu
2c341f28c7f11cc15980c7ca7fd69d51	Hiệu kỳ của Tỉnh Northern Cape
67cfda09a36917eb0861db3a599e881c	Glen Innes, New Zealand
218353	Asunción
541007	358
d99cdd28f072206caf0a444a8d9571c4	Rabanus Maurus
3683608	Cam Lộ (huyện)
3695031	Alexandros Mavrokordatos
473913	Chiến dịch Donets
090a18e5f352ac811d84c2d45a55e0b0	Bài toán Basel
189454	Alessandro Nesta
462886	Sách Khải huyền
1249414	Sông Krishna
91887	Nguyễn Phúc Chu
1681827	Xã của Pháp
7216421b09ea4c7aece430b4f360a827	Hiến pháp Bắc Đức
1211327	Giải văn học của Hội đồng Bắc Âu
373344	Bảng chữ cái Hy Lạp
2a89a70f6a0af242e377b680d93fdb6d	Axit amino protein
68565	Thánh ca
35377	Arkansas
4a585f963d73f444817b276b35a2879d	Angus
19534	Thể loại:Mất 1710
36658	Nhật thực
33a61062aa4da2b795b7f9616c138b89	EST
800948	Bathi (huyện)
72557	Danh pháp IUPAC
baf889e50963546ce5dfd51570d51f40	Diego Barros Arana
304893	Video game
69102	Thành Hwaseong
776142	Chính khách
8bc9bb8dff09c1ecc2040140ecf1f871	Nucleic acid nomenclature
532296b9d7285540a87a719e6d832b11	Ấn chương của Greensboro, Bắc Carolina
529316	Biển Hoa Đông
244578	Chiến tranh Tây Sơn-Chúa Nguyễn 1789-1802
140495	Hoa
026d926ba36e1e0e11b6abdc42e0216b	Quốc huy Hà Lan
022de8a5607a1105efe4bca6b29492ad	Ngày kiểu cũ và kiểu mới
426bfafc4ca55971897395580c83f422	Henry Corbin
4ccf6751644f940f61de24a34c909ab2	Biquaternion
b981684e76659c3743b89d79e2525f58	Ngô Gia văn phái
da48f934a3c2a81bbff37cbc5d9827c4	Antonio Farnese, Công tước của Parma
35825	Nigeria
3689524	Hệ thống Hiệp ước Châu Nam Cực
5787	André-Marie Ampère
517957	Alaska Airlines
a4ceacdb7d3527dd66d5c5cf89879b06	Bar (law)
392205	1852
450144337ee04c0b22de765c04b05331	Gerrha
bb62ab7accc867976bdc3ba68001f476	Chính trị xanh
101737	Đồng Hỷ
1684698	Cao Nghênh Tường
cbf88eadfa22d99eb31229c4d37b7a23	Al-Ala'a Al-Hadrami
30325	Giáo dục bảo vệ môi trường
120660	Grazia Deledda
75284	Quốc hội Việt Nam khóa XII
488702	Greenwich
1bec89976dbfb9ae15261adb84ef94e0	Cainotheriidae
bf8e0c4589651f7cbca43713642711a1	APEC Thái Lan 1992
8675cf2b91af062675262013252e2ff7	Cô
2d5f1c0d5ca52a0e52ea612f4e1a645f	Roman Catholic
67704	Bắc Trung Bộ
521480	Chiapas
3208685	Phạm Xuân Thệ
b3bcf310a058e118ee3d615c3183fc4f	Oscar van Dillen
025a37191a7ded3dac9ea473da620ad0	Complutense University of Madrid
41395	Bảy Viễn
2b5191e06baf187cd99cf488bb761e1b	Đóng tàu
3663194	Hesham Qandil
3353766	2092
74384	Banteay Meanchey (tỉnh)
ec11eb0dcd279ae1caea225ff409bb2c	Rationalization (xã hội học)
304329	Baby, Seine-et-Marne
133268	Giuseppe Garibaldi
88b24f5285ba9114202994b0e5c97b9c	José Bernardo de Tagle
53547	Cải cách kinh tế Trung Quốc
42764	Danube
120355	Mường Nhé
5582c53501ebfbeaf0d42b811b8d4cde	Bờ biển phẳng
253734	Rodentia
11680	Gia Long
20340	17 tháng 6
311954	Kassel (huyện)
62262	Romaja quốc ngữ
c469c3d1b665c72d85dd8c40c13f1361	CanJet
3164532	Chu Tam Thức
1750318	Marcianus
4abdb9f49a8cfd2bdf7b3890a383d08f	Cơ quan Quản lý Trường hợp Khẩn cấp
0ef916460d8667561d1ae6ed63408bee	Ann Kristin Aarønes
54675	Gia Nghĩa
ac94d02aa88a1eac09b73e1e8c2c711f	Cát Nguyên Văn
14921	Đan Mạch
229620	Eric Clapton
269838	Cáceres, Tây Ban Nha
403032	Bộ Cựu chiến binh Hoa Kỳ
7294f903f58b296e66a3fe8e9bc22b64	Cambrian explosion
a3bf9a7336ea9a7458a0f02a41630cd6	Chrocus
0d53717246c0e5275e11d4d387df740a	Henryk Iwaniec
138744	Giá trị trao đổi
2360340	Ahmed H. Zewail
3524820	Bắc Yorkshire
366633	Berlaar
85064	Mật độ
5a8be7c53e51b94e99a42f2cd8d1f3fe	Hội đồng Hiến pháp Pháp
3389208	George III của Anh
396852	A Farewell to Arms
145202	Nguyễn Ánh
f0dcb365320eb151c256ba362e7c3220	Chùa Sấu
9cea79285d57b9cd583382e838949549	Thể loại:Phá hủy thập kỷ 1530
1262113	Juan de Nova
e5590adcbac82f3b7a63dfa116ee1a6e	Birch Bayh
95b9970f3619c6e1481387610eeca25c	Biển Archipelago
85530	Thời kỳ tự chủ Việt Nam
116700	Hernán Cortés
108373	Biên Hòa (tỉnh)
649610	Chiến tranh Việt-Chiêm 1471
185635	Morava
821906	Phú Thái
84036	Bạch Hổ võ phái
140195	Sông Rhein
0288c524702e78ad0d0a9b6b135eb6cd	Francisca Cernadas
135739179f55cb0ec3ccc86b559cb33f	Bảo tàng John F. Kennedy
56ed2f8c070335487f16aedd78f3a50b	Aoulef (huyện)
197851	The World Factbook
3426895	Bóng chuyền tại Thế vận hội Mùa hè 2016
1d31eb7d381ba8b0cc82c3fb26972e6f	Daniel Scott Lamont
41630	Thành Thái
1612550	Chiến dịch Belostock
7955275	Học giả
2361155	Hàn Lâm Viện
2a5956a2077211459dba54c237ab6eb0	LIAT
3181022	Giao hưởng cuồng tưởng
f8a419d6bbd81e550e1a7537b2f99bcb	Benjamin Harrison V
9dc359d9f233c4d6d55d9af319eacf4e	Macroscopic quantum phenomena
3b923d9d99f4228612be3305c0fb2510	George Grigore
74a05daacb7b97b86a4ead9508dc707c	Chiến tranh giành độc lập Ireland
88615	Napoleon I
27628	Danh sách quốc gia theo dân số
367cca6a5ff5212341167cebaed28e1a	Bùi Lý Cương
308387	Phan Văn Lân
806599	Cống Sơn
524046	Hưng Thịnh, Bình Giang
420660	Hoàng thái hậu
69cd42cf0c872939592c4d5c20534c8a	Danh sách năm
187684	1895
5459928475d67c6ab6d041d44e0e75ec	Charcoal
7514484	Di tích thời Đinh
0a48d846b1c730ac295e581e0e3c33d1	Châu Văn Hoài
529204	1564
062f5e57445deccac017f54bedf2b6b8	Gia đình 3 đời
d2dac6e72dfca7b75f738ef61f7d775e	Nước mắm làng Trài
71823	Tung Sơn
f55c3215ee78201704b7d5569174b647	Cộng sản Triều Tiên
461374	Auxais
b7f7d07cf58aca3e9d38331148bd43a3	Cressida (vệ tinh)
2235317e571a0a076343862a23378a0d	Miền Đông Hoa Kỳ
365fc68c6e4b0a655d8c70a6e82894d2	Armenia tại Thế vận hội
842c74c71f47a717da88caa4459f8243	Andrew Huxley
830159	Canis
24567	Chùa Quán Sứ
403372	Bộ Gia cư và Phát triển Đô thị Hoa Kỳ
366245	Balen
811079	Fortaleza
4711744d63ac81177b5fb86299ec7010	Chiêm tinh học và khoa học
6129fdd9457407c98dcfaecd680caf0f	Chrey, Moung Ruessei
fea82858db703d76435a34236a158ec6	Người Castilla
d7a2ca50d32778fa5de7e1c21b517795	Bò cạp trong biểu tượng văn hóa
12424622	Hòa ước Thiên Tân 1884
40cedd2a252e52b113d3ff48654e1ca3	Bayamón, Puerto Rico
b558addb9a27c6c24556fcb72ff6c481	Nhà xuất bản Khoa học xã hội
c3b0c9c2037ecb8e4d52b0baaf56acc9	Hàn lâm viện Gundishapur
fb8b5dcc914a4de34be35773ea27e9be	1892 Democratic National Convention
60747	Lầu Năm Góc
1133406	David Fincher
2378868	Trồng trọt
7623d8a809dde804060d7740c3899911	Christian Science
2423260	Die Zauberflöte
ac0ade7faddb4713dcd15f1fa839a31c	Quốc huy của Đức
fefc608d0faa6554d8569f2c837212ef	Luisa de Medrano
75500	Wrocław
191735	Cổ Lâu, Khai Phong
0967f4e67eeee7d3ae57fc596a57f38f	Chrômát
3ab3c136e0bb7b00506c9da8864acb61	Chính phủ Các Tiểu vương quốc Ả Rập Thống nhất
530960	1357
31470	Greenland
107930	1946
6377a0ce65fa357cfecedb907cba1dfb	Bart De Wever
ed2f0d19459ae9e1728ee0f969f60915	Hà Thọ Tường
865202	Miền Nam Việt Nam
530404	1437
263967	Truông Nhà Hồ
47287	Ca khúc
b30944cae88bc8a08324b766d2b75f71	Abdülkerim Nadir Pasha
574649	Cosimo I de' Medici, Đại Công tước xứ Toscana
2b8d032e6897449cfc7889aa1365efab	Yale University Press
56886	Alexander Đại đế
3960ab315cc8c79fb301f980def7a807	Công nghệ hư cấu
1db2504c3ecf3a404151e74a5e128f6f	Thanh sử liệt truyện
71038	Cantal
71339	Angers
251096	Chương Bình
3186042	Encyclopédie
41185	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
192163	Eric Hobsbawm
8bf94bcb44f8439fe7067cd2549a6a5e	Bảng chữ cái Samarit
316321	Bán đảo Sinai
809029	Lùng Sui
7982404	Nguyễn Khản
79dfbaa83aaa8bd552e8a100a8d90743	Chiến dịch Borneo (1941-1942)
110118	Lhasa
f0d18de1bf6b6377db844f90afe557aa	List of Viceroys of Peru
64756	Lịch sử Đức
315803	Bảo tàng Hà Nội
645375	Nhà Orange-Nassau
30607	Cúp FA
307692	Andelat
349410	Kim Jong-un
1747758	Albrecht của Phổ (1809–1872)
880598	Biển Bothnia
359099	Hünxe
1765557	Alexander von Linsingen
b0bdf2f1f8ef1dd8564c29246eac46d2	United States metropolitan area
f196103ee6118c25d4247a0557ffd675	Bài thuyết giảng
3159918	Dương Thị Ngọc Hoan
3378355	Chiến tranh Việt-Chiêm 1367-1396
44ffee7331aea1f3b1f74f33e12aaf87	Hoàng Nó
235405	Dịch Môn
107452	Bảy Kì quan Thiên nhiên Mới của Thế giới
39f67e4fe437ab4d2daf7a5dfce0f21a	Marathi language
11709273	Công nghiệp hóa học
0523658c5ef2b45fa0bf971bceb6ab6b	Chủ nghĩa duy tâm thực tiễn
2998	Bacteria
3696219	Orissa
66841	Diễn Châu
640940	Bình Lư, Tam Đường
1330951	CentOS
68993	Bengaluru
6550fd2ca5845fd54123e52743b9fb5a	Bát Bửu Phật Đài
1e8c391abfde9abea82d75a2d60278d4	2154
3424586	Công viên Olympic Barra
06ed148d4e6fd5a308e2cddd8878e6b0	Système universitaire de documentation
5e3adebec3f50d8e071ef7fc164a4c03	Salsette Island
246815	Thanh sử cảo
578382	Thập niên 1190
816991	Nam Tây, Đài Nam
1298383	Giấy phép Công cộng GNU Hạn chế
20471	20 tháng 8
20526	17 tháng 9
23318	Đảo Ireland
5320	Slovakia
12041721	Bắc Tề Ấu Chủ
e5456bda298be3f1d7234cf74184f34b	Kennedy Center Honors
ebcd8d3c52d5f1d4ac3d9d984ca071a7	Chauvet
41accd5b25296918b79608ff025a0a95	John Porcari
2384980	Lagerstroemia guilinensis
bedeea9c8d5b047b64d7eb5ab68bc278	Chính quyền bang Western Australia
529987	1205
769396	Biệt điện Trần Lệ Xuân
30106	Cơ vân
188960	Gia tộc Oda
99282	Nghệ An
f7d8cdf7d102c360e32e6f7019a2cfc8	Artesonraju
ab8abefeaa95dae40382a1ff1ee22085	Borsdorf
399890166ceb19155d2b469a205d6c94	Alto Guadalquivir
819510	Batna
e43423d974f73ccd40b20a48b4d022d7	Axiom of countable choice
6b34540969936e267ca0a1bad3f4ae21	Giovanni Arduino
11204	Long An
799316	An Phước, Tân Hồng
31318	Marilyn Monroe
256887	Asiamerica
71763	Thần thoại La Mã
310701	Nguyễn Văn Giàu
ec61be3e2f08d805d75b29043394c1df	Al Ain
1f7793dfd572f1512b23628927bbdc55	Công nghệ giáo dục
552a77055d86f656908eb71dc032a599	Les Dirouilles
407347	Chủ nghĩa hiện đại
383738	Hán Cảnh Đế
10869	Chủ tịch Hội đồng Bộ trưởng
2461257	John Dollond
47564	Andrei Dmitrievich Sakharov
2288562	Nhà xuất bản Trẻ
3116850	Hồng Thừa Trù
4dee615be94e360a46555f09c05c6fba	Dead Prez
eaffcadfca9371b49b9edce40419bddf	Báo nguyên thủy
1c1ff8db21cf79377f9930e6e6ff8247	List of sovereign states
2c2e56889a26cb13bf905dc64780c8bc	Arrapkha
540777	176
3b41963f159cbb2647839c92556e43d6	Anh Quốc tại Thế vận hội
578640	Himalayas
3372	Kitô giáo
f0a85574be33efd30e7eea1810ee83eb	Tiếng Bemba
54934	Hà Tiên (tỉnh)
819157	Hồng Thái, Kiến Xương
260052	Lotf Ali Khan
1244796	Hưng Long, Ninh Giang
3392382	Copa Libertadores Femenina
1273798	Kłodzko
2f52ab8a66e12a586f51fe614af3c83a	Charles V
65356	Ba Vì (định hướng)
22f469b8ad8b63370904b7d48accb05c	Bóc lột
319652	Góc ở tâm
0333f8c54766bcc46a01607bcda49240	Hiệp cốt đan tâm
17e766ca13e273cb69d47a5715c8b617	Arthur Anthony Macdonell
3166853	Hội đồng Liên bang Đức
2459698	Aleksandr Mikhailovich Prokhorov
590203	James II của Anh
1439308	Abbey Road Studios
3278035	Chiba, Chiba
8310	Thiếu tướng
24020	Thời điểm
1244642	Hoành Sơn, Kinh Môn
815653	Chiêu Tô
1243550	Diễn Tháp
1422472	Buồm
234122	Lê Chiêu Thống
119285	Isaac Bashevis Singer
1242120	An Bình, Biên Hòa
450c9ed3e68cc09807fffab2937a10a9	Xã Đàn 2
149799	Batheay
213225	Giao, Dương Tuyền
102743	Lê Văn Dũng
69a5650254e157d8ee749a78e48e3106	Axit aminopropionic
93278e48affcb2ea832b967e82518eb8	Các chỉ thị cơ bản ở Connecticut
20116	28 tháng 1
518694	Làng dân gian Hahoe
119445	Aleksandr Solzhenitsyn
bdc66fb4578e9c350317542734172074	Giáo hội Công giáo Cổ tại Hà Lan
1373570	Dobrovnik
844	Manitoba
6f13e522c8907388e3f4e602dfcc0ce0	Canaanite
199494	Lakshadweep
530451	1474
bce765adbe7fffbf433281350fe419e4	Kiếm gỗ
abfc59b38721b7b5dc9f7d7458a447c1	Núi lửa dưới biển
65399	Hemophilus influenzae B
73a76baedfac261d363601c80c60e216	Clinical death
3349641	2113
255636b8e369ca33394d424593f96742	Air Labrador
d5bf9ae9134b4fc31311f4f9b58e22c9	Bút Tháp
230551	Hoa Đình
320224	Biển Bột Hải
