63096e84897868d4d2c84009096589b3	Arabinoza
240592	Bùi Hữu Nghĩa (phường)
20395	12 tháng 7
403139	Alexandros Balas
281486	Amiens (quận)
c219067710c1d2ceb9ac1484eecd564f	Giao phối chéo
33587	Lục quân
138744	Giá trị trao đổi
3754	Lý thuyết dây
6eb95c64bb81988c7f05c4af6af54b7d	Thể loại:Thành lập thập kỷ 1750
392173	1836
1418	Phong trào Chữ thập đỏ và Trăng lưỡi liềm đỏ quốc tế
ab38dc328b73b672b6c2f2d1b52a33d9	28 người bolshevik
543001	Giao hưởng số 2 (Beethoven)
e8545f9edf1f5134502415d621eb5e31	Alfonso VI của León và Castilla
783574	Aguascalientes
c94bbd76c1449a9ab8c0c82cc8d14804	George Entwistle
120413	Rudolf Christoph Eucken
392145	1821
50001	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá III
dbd43e86ba6714cbff40418e0cb9c445	Thể loại:Thành lập thập kỷ 1710
131117	Hoàng Long
199952	Aleksandr Fyodorovich Kerenskii
817077	Tĩnh Hải quân
529173	1540
370088	Alfred Hermann Fried
53739	Thể loại:Sinh thập kỷ 1610
410328	Adygea
fb3b626bc276eeb366186f6fa8f2bcbd	Bản đồ thống kê
d690794d5cfcfa5ae62e568ee45aa414	Historíai
188972	Gia tộc Saito
578428	Thập niên 1300
63319	1997
11173ed81225c1bfa84c482a7a0ca29b	Bối khí quy chi
5a03c8416f45762e37bc1ea1676adbc5	Tiêu chuẩn quốc gia Trung Quốc
88f0883c862b468eb7e8de37dd369565	Chiến tranh Nga-Thổ Nhĩ Kỳ (1787-1792)
ddd7e1316a7ad375b5993ad4166c7b81	Batak (Indonesia)
3187768	Viện nguyên lão
230616	Bầu cử tổng thống Hoa Kỳ, 2008
530510	1499
172417	Akhenaten
7f6d9113e46c355ce5e45e5347c5224a	Sông Ô Lâu
435567	Akbar
51052	Thí nghiệm Cavendish
51758	Khí thiên nhiên
530424	1451
b2f45ce22cd4d6d035dbf46fe3815a0e	Karl VI của Đế quốc La Mã Thần thánh
2f8cb584ea7550f7ea11272e51f3da98	Amélie Nothomb
3158410	Huyền học
1aa9e03458e2ead09b65ecbee28fc703	Bát Quái Sơn
bbfc636db1b4d385c11b7e201838cf02	Grégoire Orlyk
d5d8375c2101fbff8b0ffc9825423b1b	Cầu Chúa Ba ngôi (Saint Petersburg)
a80a7cd13787b4d490a350dca1aad062	Hà Luân
04d470b93d94bf4e7a94aded5d96bf69	Cung điện hoàng gia Madrid
578296	Thập niên 1790
d28e364dcc9b089410659e8e33ac6198	Thể loại:Phá hủy thập kỷ 1060
404570	Bardonnex
34c375013dc9c564b3ad7600f05bfb51	Bác Mục Quả Nhĩ
529370	1692
78871	Air France
3984be8df0ce67c95521b0c75cf94e88	Danh sách các tòa nhà quốc hội tiểu bang tại Hoa kỳ
87ecfaddfa1922b37fd089116dc73b92	Castroreale
59d4c7bbd7ab078262e1db04ca321627	Charles Blagden
799037	Bình Thành, Thanh Bình
3428945	Chữ Kirin
c5aa0de1ca9ddd5f4e1405870350fbec	Thể loại:Sinh thập kỷ 140 TCN
11764453	Mạc Mậu Hợp
44627	Kỷ Permi
135478	Italia
265526	Bagnatica
525835	Người Kurd
529386	1667
f5ea720d4cec2b146a8a4cfcb51cd4ed	Cha-cha-cha
263945	Durban
104e5e5aa65fb4a6f1aa611e22c82bc8	Chiến tranh giành độc lập Eritrea
153033	Bành Chân
6f2cee0706b37897b23dcf4d49c96ce2	1970s in fashion
414b7f51601c88d116251bf82db57923	Thể loại:Mất năm 1861
45155f8b85d90f0b671fa505d07aba79	Chính phủ Iran
2563	Thời gian
75748	Tuyết
d048998d1325a2acf830d58468839f03	Bóng-và-que
194744	Chiến tranh Nguyên Mông-Đại Việt lần 2
8739d6565e1e6b2237ced8d76378e16c	Trần Mạnh Khuông
211414	Tỉnh Pennsylvania
4edc0ebcf9288c135464d93141f2df15	Benito Jerónimo Feijóo y Montenegro
fc59c477cadee1f59dedaf5de24f6d87	Thế kỷ 2 TCN7
da3e1d079a949e0f07997631327c4c99	Anh Quốc chiếm đóng Manila
63974	1978
051bf343cd452a70db4d33e85352cf7a	Hằng đẳng thức Jacobi
3655680	Hào Cách
20083	12 tháng 1
39822	Hương Sơn (định hướng)
c84f7cd9a1844d9d62252c97f75975e4	Chiến tranh Serbia-Thổ (1876)
60090	Ernest Rutherford
1279520	Thập niên 30
076af6bc822c9c0ca4d46de55b210780	Bóng ném tại Thế vận hội Mùa hè 2016 - Nữ
35fa8f6d1d999599e73220bcf61e576a	Charles Rosen
fd7beae2ff3e0ea5aead6aa92130f827	Nội vụ
0203ecae663b98d4d5e1d7fbf95b9a62	Algérie tại Thế vận hội Mùa hè 2012
7211d18ccf2fef33e35ce893f8534c95	Chiến tranh Ý-Ethiopia lần thứ nhất
3211880	An Nam lai uy đồ sách
3678157	Bảng di sản thế giới theo quốc gia
105221	Tây Bengal
422106	Bột Hải Cao Vương
2545	Kim Dung
103150	Johann Peter Gustav Lejeune Dirichlet
e95132a8ac5cae91ce5262873a62df7f	Danh sách quốc vương Sicilia
3575e016bba234574aca116ed05d61e1	The Cop and the Anthem
540521	301
64291	1971
119322	Nội dung tự do
2263378	Gro Harlem Brundtland
349cc486a4a34089f3c15b6b1644c5ee	Gerard Depardieu
57050ca9673ca9d23f92fe89779eeec0	Quý
ead64131dd0c6578fe848645bdd65aac	Lịch Đông La Mã
cf6db7780cdcf5266c089decfc2bb4b2	Công chúa María Amalia của Tây Ban Nha (1779-1798)
2440718	Hồ Dĩ Hoảng
3904	Alexandre Yersin
7460176	Hómēros
356275	Manhattan
308387	Phan Văn Lân
04a1d25ef28909c621288f618f34a5b9	Banteay Daek
417037	Arkhangelsk (tỉnh)
63474	1989
8e539a4f73c52b35a408210619e23939	Axiom of infinity
11684365	Băng quyển
16681	Cầu Mỹ Thuận
5f58c46aa00dced82913b16b80e986c5	Chancery Standard
270628	Cabiate
311611	Bamberg (huyện)
ea2802245a224afacfb5b2d796e83392	Karl von Hartmann
3719	Công giáo
74002	Barneville-Carteret
26471	Bình Thủy
36c803faf127f874cf0d7bebf4721120	Aeropos I của Macedonia
136938	Chiến tranh Tống - Việt, 981
731673c493cea608717c642bb7800330	Brantford
2432	Albert Einstein
2424121	Ban Bí thư Ủy ban Trung ương Đảng Cộng sản Trung Quốc
3581275	Algarve
532117	420
452519	Giáo hoàng Alexanđê VI
37171	Tiếng Hindi
67ce0e8474b79d113f5887c652079901	Thể loại:Sinh thập kỷ 20 TCN
53628	Thể loại:Sinh thập kỷ 1060
09bb784d9c608094cf8ea5fd171c02e6	Danny Inosanto
18897	Lượng mưa
234a125cb1d094cffaec516eb2fdcd42	Chính quyền California
71410	Angoulême
484037	Khu di tích Côn Sơn - Kiếp Bạc
6267	Angola
ee3b27a054406935989429f5780fdfa5	Chu Thường Doanh
257119	Avalonia
9de5ebe82a096906cb783879d9dd145e	Lịch Attica
5473	Nhiệt độ
9911ed596b95ed25ffba99d11557e8ab	Chú hổ Tony
377801	Aleksandr Nikolayevich Radishchev
34c9c0172c5ff6764fb06611a8119d72	Vương quốc England
66a1b4bb443f5b4b7ab4aa2e41392acb	Estelle et Némorin
213817	Hiếu Nghĩa, Sơn Tây
484f4113530e4ecaf5a6a36a7e9dddea	Biała Krakowska
93fad883c7defa5a04fee05d69f6f3d5	Thứ trưởng
369891	Ruhollah Khomeini
65c74c2b952ec7acb5f960a0e8d19389	Chatsworth
151082	ISO 3166-2:AT
525461	Berkeli
3210375	Cambridge University Press
265529	Barzana
981	Hóa học
3349404	2034
4006d350edfb921f465214950b94eb9a	Dracula's Guest
c0573dba880f0a3d1055585154bd35ad	Các Điều khoảng Liên bang
2417602	Virgil
31042	Lý Quang Diệu
800784	Ban Lung (huyện)
39567	Thổ Nhĩ Kỳ
3504149	Celt
60769	Hướng Nam
20648	29 tháng 11
151108	Lê Anh Tông
1ab27699c6bdd043d3e82b8e57d098d1	Thể chế chính trị của La Mã cổ đại
c998008ba7446a1f0695bd104ff1f360	Amytis của Media (vợ Nebuchadrezzar II)
528183	Dunedin
2434243	Tiếng Romania
c0add32fe802dc05fed5210abf447bc0	Conscience in Art
1242427	Bản Hồ
799194	André Villas-Boas
184819	Chiến tranh Da Đỏ
332080	Antigua Guatemala
a438e3b3bc05c4c340a03e762f98a020	Caspar Peucer
44707	Angela Merkel
1288099	Băng L
10086	Lê Đức Thọ
29b8a31a71edc68d09127e236e8c15d2	Câu lạc bộ Nghệ thuật quốc gia
5192abdc8ad57a8d70b237f2bc02caaf	Châu Thuận Bình
146192	Clipperton
4852	Tổ chức phi chính phủ
31609	Bagdad
ea653680833d1850a672841a2d8c97b8	Yahrzeits
26efbc684c2a10ea61ac963f3eb31dbc	Thể loại:Phá hủy thập kỷ 20 TCN
33401	Họ Hồ tiêu
b23c79d1fde3f61b3b8a0c25244b1d49	Conor Tottenham
06c839326da4c8b5327863bbe5d3bac7	Các cuộc phản đối bầu cử năm 2009 ở Iran
c3a03dc8e8b2875d56ea72e83364eda0	Brigid của Kildare
110711	Vladimir Vladimirovich Nabokov
172887	Amenhotep I
98806	Brazzaville
2493176	Bộ Chất
2433513	Bài toán P so với NP
530376	1413
12586	Tây Ban Nha
099b36df0b053e680d570135993636b8	Bóng đá tại Thế vận hội Mùa hè 1956 - Vòng loại nam
530446	1470
767fd2aeb61659a157af6d5a612413cc	Borsberg (Dresden)
66707	Việt Nam sử lược
106569	Các Bộ Hành chính Liên bang Hoa Kỳ
75678	Kỷ Ediacara
e95ddc98fe1c507b21dbba6a1050d342	Antoine Deparcieux
04336f03f1aff8cc2a3d515645653130	Các giọng tiếng Anh
53782	Thể loại:Sinh thập kỷ 1810
3349565	2069
1378	Hóa hữu cơ
56369	Cơ sở (Euclid)
868480	Charles Fourier
1058949	Andrés Bonifacio
3401603	Thể loại:Mất năm 1535
10512	Nguyên Dương
20691	19 tháng 12
191682	Bắc Maluku
25850	Nguyễn Tường Tam
41721	Lê Hữu Trác
7f0e79a02b59cb133be899662dffb699	Ba Thánh Maria
447141	Chiến dịch Baltic (1944)
2297097	Dụ Tổ
2460026	Abdus Salam
230d5042a978bde515250a305fd0eaeb	Lôi Lão Hổ
bbd8e4b1f9ad3d1022a2b5b8837aac55	Alaksandar Vladislavovich Kazulin
87491	Danh sách máy bay sản xuất với số lượng lớn
100598	Vàng Pao
2f42b62e938b2c0c75f791de30f86f49	Thể loại:Phá hủy thập kỷ 1900
701296b552986f74dacf2b5a85d4cd30	Barn
20062	25 tháng 11
25175	Tân Cương
1578433	Pharr, Texas
062c22dff0629d18111e0dfc6e9ebe31	Knights Hospitality
734	Thăng Long
64e71b75231267a7fda9fa55abe87e8c	Schleswig
212096	Giải thưởng Điện ảnh Hồng Kông lần thứ 10
253092	Dương Trung, Trấn Giang
a0e8faf7bbd299b08e41ce43401a8c3b	Aleksei Alekseevich
b841991dc3fc44ab677e59d21b744b8a	Thể loại:Thành lập thập kỷ 1840
3789	Chất độc da cam
006bf8a19f408fb011ae7a523b21ff8d	Gavin Strang
71620	CEO
c7a51ced93d4311344be9c5d641116c9	Được đóng
e19e408775825d8b368fa2e05a37af34	Camillo Golgi
672553ab2ffcd347f4400a3b71d2bf67	Julian Alps
526ce4c7831fd13626c740f5c98aeabe	Dwight F. Davis
55950	Trịnh-Nguyễn phân tranh
e3e9f7bd4e0d7afa2b9ebc96ba8e5051	Bán cầu
20269	9 tháng 5
fb55cb48b90c08da81178d15e5928448	Boehringer-Ingelheim
0ca4801b3a3e85dc163235ee9659bbd9	Franz Xaver von Zach
29835	Bảy kỳ quan thế giới cổ đại
ee3944ff3a98678a95157bc0f8158286	Nguyễn Can Mộng
6c6ff2a5819bb1e9def471618df49d31	Albion
b003b1b2f1c0ce28ebf6ee011ad9c10e	Quốc huy của Trung Quốc
128716	Doris Lessing
63725	1982
258840	Aksaray (tỉnh)
c4ab07dbec15141ee0d5a4b3cc7740cf	Huy hiệu của Basilicata
8f043e06b67e3e5e361acb15b9137445	Anton der Gute
528913	1748
20484	28 tháng 8
c99cb6cd5142b038ba44ed073822ac62	West Hills
53e51c38f0337be6fcbaf80a85b3690d	Central Florida
42543	Airbus A400M
0f0cb209620d7d184aab74740a59e462	American Journal of Physics
541433	Thập niên 1840
529893	1231
523798	1784
4611	Liên hiệp quốc
3277687	Glottolog
476815	Civita Castellana
4455	17 tháng 4
a9571b287acf36f3a919a34239011c80	Anne de Mortimer
581458	Espírito Santo
20498	4 tháng 9
578321	Thập niên 1610
530498	1488
1742205	Đám tang
1581	Sao Kim
bbf015cb8d1dcce5db535b5b9319d610	Tự đào tạo
294605	Béchar (tỉnh)
570940	Breslau
3efd7aa0c9ff97c9040c89f8cfa59e3a	Parti Québécois
4068	Bắc Trung Bộ (Việt Nam)
116075	GDP
5088ad74b015d008ef769e2290c93a41	Henry Knox
25167	Câu đối
62070	Thuế
3157481	Akasaki Isamu
87f4118c8e28655fb15726c005cbcb72	Chu Đậu
7a2351d6a5061145c32f0feef80d51b4	BAFTA Award for Best Actress in a Leading Role
0778c85a50aa75919c3e6ea5ffd0b85d	Chính khách Hoa Kỳ
3268462	Justin Trudeau
397360	Adolf Butenandt
250672	Mahmud II
3665999	Châu Đốc (thành phố)
3351436	2086
97bea953e48903ae31c229365140e499	Borgetto
448854	Công đồng Nicaea I
393e1ede8d518bffcd500818ac89a425	Nguyễn Thị Ngọc Bạch
5827	Kim loại
541431	Thập niên 1860
793770	Ai Tư Vãn
3388945	Lịch Iran
178513b96e8922f6160f0528c35065b9	Biến tố
9572770	Quân chủng Hải quân Việt Nam
3138201	Bank of America
184647	Ashgabat
528939	1786
3653143	Stary Krym
6923	Chủ nghĩa cộng sản
1741962	Đại học Zürich
8445	Cara
118374	Phá Tam Giang
1243351	Cuôr Knia
529943	1279
3645959	Bắc Carolina
39744	Danh sách quốc gia theo diện tích
17619	Hải Vân
122276	Chi Quế
543178	Hội Quốc liên
9bea0799b0a94237c0b703745b0b31fc	Chào bán ăn theo
13	Tiếng Việt
458060a881111252bf266537a25b119d	Hans Vaihinger
ddcf6117c41fb82ace839052d3fb3c80	Abdelkader
26086	2005
799241	Juana Galán
543975	Cú pháp
20357	24 tháng 6
1469013	Eo biển Messina
203074	Chiến tranh Trung-Ấn
5625abcbbc50d348585d2b5b53e6cd16	Ferdinand VI của Tây Ban Nha
1008	Nguyễn Du
1279322	Atlat
d8cf851e44f45dfb4433bcf7d89c53af	Đánh bóng
194021	Arthur Schopenhauer
258030	Hạch bạch huyết
8e6a049963314042453489e0c0218492	Arginine
80145c2301acb7940944f5ce919fe592	Andrés Avelino Cáceres
392161	1829
131995	Chủ nghĩa xã hội không tưởng
338582	Mộc Thạnh
8a91ab5692a08895656841b175716fd4	Triều cống
2463031	Giuđa Tađêô
e5c2ff7f043c53e0f15be1217cb42215	Số Kaprekar
20674	11 tháng 12
0f25a6c7ff918476bfaa0afab585e59c	Chủ nghĩa tư bản tự do
189399	Jambi
442726	Aleksandr I của Nga
471744	Trịnh-Nguyễn phân tranh, 1774-1775
598d374696657546553e8d906d64c79f	Châu thổ sông Nil
322628	Giải Oscar cho phim tài liệu hay nhất
6043	München
04c408d52ee35c682fdba102c79d89d8	Africa Sports National
809033	Nàn Xín
05ebd4ecf5da6b71be04279cae077f82	Piano Sonata No. 2 (Ives)
f8b27e4bf0210bdfa018c96593b47df4	Hệ thống Đo đạc Thế giới
3424498	Arena Fonte Nova
d8eb503e0f43742171b68ae81d88f1b9	Chủ nghĩa hiến pháp
27107	Trần Quang Khải
322035	Haumea (hành tinh lùn)
107094	1942
20494	3 tháng 9
2261082	Arne Tiselius
183123	Bảo Đình
59022	Nghị viện
56691	Bệnh viện Chợ Rẫy
20655	2 tháng 12
263685	1890
e82e5a9b665ccdb2c52e58420a804867	Bayard Rustin
3677242	Địa hình học
3297	Tiếng La tinh
1264011	Cromit
323506	Bò Tây Tạng
127986	Bermuda
e60757289b5d900af8a7599c096d1a9b	Eastern Front of the Russian Civil War
578338	Thập niên 1460
1a2abf02569dc13e3807453d5dd238ca	Guillermo Billinghurst
2232328	Cao Kiệt
59685	An Nhơn
95c30d5010e9800694ca6902ab952288	Nham Biền
2e4b2c4ba0d4bfa06a71fdcfea41222e	Bông thuốc súng
402364	Bộ Nông nghiệp Hoa Kỳ
999d8f35c8c2ac1fc088fc5824636065	Alverca
7cbc86116f1050216b5715bf087cb01c	Brazil thuộc địa
254019	Hòa Điền
5b2db7852160c2af7e9a93b9d3fc5e95	Công nghệ hình ảnh
7a908d6e36a535647ddaae33cf1ff2b6	Ban Giáo dục Trung ương Đảng Cộng sản Việt Nam
531910	451
1612686	Dong Thành
209f925edfce91b47fb9f96517dda14c	Auberon Herbert
419424	Bến Thành
17601	1 tháng 6
518bbce080d20e38c6cbc5318b8723cb	Squire Boone
418333	Ada Yonath
de04aefb66303131167ad4dcff8fa6cd	Công tước Brittany
578389	Thập niên 1130
1644693	Cô Tô, Tô Châu
2688	Đại số
531902	459
20263	6 tháng 5
8617	ISO (định hướng)
528911	1746
20155	15 tháng 2
8f747110af67c6835549af38f1a02b96	Rebecca Miller
247137	Giải Booker
38585	Nhồi máu cơ tim
3289654	Phân cấp hành chính ở Ấn Độ
1b1e9f838fb6b81ce02af97f025aa3bf	Minh đô sử
a2b16190d1c76dacf44eaf543612435f	ISO 3166-2:CO
638296ec6f3e77d2f50653f14f6d5dd8	Chùa Bồ Đề (Sài Gòn)
dcf529e4fdc31338823a7861d30bf510	Amazon Standard Identification Number
55fa9e5c377dcc2364c871e8e616b3bc	Bagaudae
471143	Danh sách các đơn vị hành chính Hồ Bắc
3280202	Bán đảo Absheron
81830	Antonio Vivaldi
3525911	Lao kê
3142	Alaska
267241	Caltignaga
803222	Art Deco
417735	Anno Domini
2722	Dòng Tên
419494	Bộ lưu trữ lịch sử toán học MacTutor
186342	John Newton
7454218	Châu thổ sông Donau
71ad84eaf1cecaebfbd25aab4d9aae47	Thể loại:Kiến trúc thập kỷ 1640
889	19 tháng 3
530505	1495
182666	Châu thổ
52251	Borodino
61e9d8195629932bff75e40f321d35c0	Brazilian Portuguese
72104b6c1788d62f85ce0c3f12a0e0df	Freddie Young
27311	Bính Tý
ea8c238a9a0b642381507874f0024b52	Al-Fil
3208843	Ban Chỉ đạo Tây Nam Bộ Việt Nam
1279649	Thập niên 60 TCN
285392	Lịch Armenia
3241251	Công viên Quốc gia Glacier (Canada)
3272278	Artur Rasizade
518899	Các vương quốc cổ ở Việt Nam
3691887	Chông
741	Đức
7ecb9a06eef16ebd8ac7522bd4cbbe89	Fuggers
3699231	Chiến tranh Bảy năm
39916b02abacbce9d43cf901485dd79f	Coleridge
400492	Ardennes
32581	Xoáy thuận nhiệt đới
c6e17b5ca877c7ab8245faf32c3219b3	Hoàng Thuần Lương
a3a86b224f59e4d60e41fe72470a8082	James Wolfe
664a8c4b19df9f2b86e0b180922bfd82	Bảo tàng công nghệ
7632582	Epigenetics
671a437e13fd27ad39a6c9124540d351	Edna Worthley Underwood
578314	Thập niên 1660
60192	Philadelphia
529754	1334
812615	Biến đổi Fourier nhanh
abbf9605c498f66b65e111a2785c1b3f	50 xu Kennedy
34c16a9befb10059ac1349f6f3793332	Blackstone Valley
eecfebfff3a1bb6eb0a5b237147fc381	Lucien Lelong
31436	Busan
796473	Bislama
267237	Carpignano Sesia
7ff4238a80bf5d4f976a2efa80efbe72	Emetullah Sultana
125507	Cẩm Lệ
234970	Lê Chân Tông
ed555b91c0d5346d26ce1a19e2f67288	Chu Thường Thanh
5676	Tổ chức Y tế Thế giới
7a2c7a9bac3da70f614bf930cea7089f	Warren Bufett
172880	Khai Viễn
998	20 tháng 4
1229	Chương trình Phát triển Liên Hiệp Quốc
3192414	Microgam
78736	Hoàng Trung
92267	Ankara
112675	Adam Mickiewicz
20351	21 tháng 6
85435	Công ty đa quốc gia
472305	Hệ toạ độ địa lý
202192	Lương Tán
7551e83e65d6523e428b7eccf0c482ce	Cái chết của Marat
1557213	Bồ nông
211095	Bảo Sơn, Song Áp Sơn
4cfdfae1d856e959b82c5692b65ce0fb	Katherine Maher
230161	Selim I
982110	Sangju
128013	Huy Du
578319	Thập niên 1630
ec06e273d35c6c9ae0ef6b483ac3f3ef	Air New Zealand Link
d2b59aef5da7ac620a0d7ed43e57c911	Công ty quốc doanh
882	Chữ Nôm
1586	Sao Hỏa
c6f504e4fc0b3a59a23f96217599f07b	Allies of World War I
543879	Chức danh
413426	Ebringen
1279526	Thập niên 80
265524	Azzano San Paolo
127595	R.S.C. Anderlecht
1677769	Chiến dịch Faustschlag
73391	Astatin
3169189	Arica và Parinacota (vùng)
1436970	Dũng Liệt, Yên Phong
106966	Liễu Châu
f274f0fed268a41a521310120a04e04b	Alfold
102968	Sông Hoàng Long
34091d5d5aabb94b23888b43a6863d7d	Thể loại:Phá hủy thập kỷ 1550
44357	Đại Tân sinh
27327	Mậu Tý
238354	Ibrahim I
106599	Lao động
1799000	Trường Trung học phổ thông chuyên Lê Quý Đôn, Bình Định
461444	Anneville-sur-Mer
ef067dea4702fec4d59813fbebb88769	Ausangate
822276	Binghamton, New York
b7884f707cfd1c8fadc0f484433daaef	Austrian Football First League
20438	2 tháng 8
5815	Hydrocarbon
41166	Nguyễn Thiếp
084214c3e4807c1fa23f084e7ea98cda	Bành trướng bá quyền
263680	1891
b777551c8d5be59f30c31c790bccbc2f	Battlesden
512084	Lý Định Quốc
041cc5e5dbfa5390459b30d74c3f2cc1	Maria Carolina của Áo
538235cc0960661dd86fac5aef7eb493	Thể loại:Thành lập thập kỷ 1910
28232392b9c7d5cc95d54b296b38bb21	Marthasville, Missouri
b5ad8f1ada7558ee4c32ee3d1557a058	Chiến dịch Angola của Đức
20578	12 tháng 10
0672b3e1ae478338f05c356add749bd5	Châu Âu thời kỳ đồ đồng
3697205	Bùi Quang Huy
3198975	Nhạc nền phim
f786a2c62f9cbea8026332eb7fcd558c	Bông tai
20120	30 tháng 1
404273	Bộ Năng lượng Hoa Kỳ
528697	1710
b278d65b100363a8e569006255853cc0	Tên chỉ định tiểu hành tinh
562938c0a4c1a7d41ee327f0eac37998	Chiêu Thánh Hoàng thái hậu
83392	Crôm
f3ccaffbad3084cee4641a2ac1ac90ce	Concord, Massachusetts
95216	Hà Tĩnh (thành phố)
ea8f4e1f408f32356608048601e245d0	Avenida General Paz
5b4dcf90fbaf8e7ea16e4f5654c29eba	Cấu trúc luận
444659	Giáo hoàng Antêrô
16604	Chủ nghĩa Marx
58349	Chàng Lía
48298	Dick Cheney
b7f9242a6a69b8dc4b9e8886062e94ea	Lipit-Ishtar
318060	Thể loại:Diễn viên của TVB
2c68dd3e37f3d55c0debcbcad2de22ae	Alferne paa Heden
239973	Chùa Bích Động
782771	Rong biển
187094	Lục Xuân
3099448	Antioch
1069edad30fd080b4345112cc507bd93	Aleksei Alekseyevich Abrikosov
974032	Biển Balear
399497	Hòa ước Quý Mùi, 1883
1646513	Khalifah
526736	Basseterre
d3eb72f224e43ffe6c3fbc3a0ad35e0b	Priest, học giả và nhà khoa học
67c273b95d1d51bd7702466d3ebb551c	Carl Scheibler
817580	Aleppo
202cca63d3e9fd5007847a880e69657f	Abdulah Sidran
07a8a5785963d11e96680b103d2e29a5	Giải O. Henry
33748	Từ điển Bách khoa Quân sự Việt Nam
2451165	Cát khai
0c0243b1d35ad841095e9087cc9beb7f	Arvid Runestam
7340	Cá mập
474549	Chiến dịch Barvenkovo-Lozovaya
1266475	Bầu cử tổng thống Hoa Kỳ, 2012
127609	Hoạt động của Hồ Chí Minh trong giai đoạn 1911-1941
90ed3116fb3b8f9851d19c316212c9ea	Chính trị Vân Nam
32369	Ngũ Đại Hồ
1743798	Chiến tranh giành độc lập Chile
32196777f12e19288108ee7d51bd0849	Fourfold root of the sufficient principle of reason
43017	Máu
529577	1580
9712bfd285a42b4e96a9f49fb5e6ba1b	Butterfly Sword
663745	Gerty Cori
188132	Long Hải, Chương Châu
528408	1705
ac4c4f77fb6514570a8a8c68282088e4	Giao hưởng có tiêu đề
383783	Antiochos II Theos
3142679	Âu
bf234709d7226f095cae59647014f9b8	O. Henry's Full House
e4294df3e10100282be1efef289dcc51	Chiến dịch
39398	Chicago
580828	Santiago del Estero (tỉnh)
157816	Hoàng Phùng Cơ
40585	Chiến tranh toàn diện
2bb6b123eb43c9032f74e9787027b872	Lịch Triều Tiên
55eda04be31d779e93f91691706ca1d5	Apollo 16
ef1c5ccd547d34ce786d4d8261de75ed	Bảo thủ
20193	4 tháng 3
f4c0f282f6e587e7c5f09aa9949b3d56	Interregnum (Anh)
d0b70a37ec764986b834ad0bd01ccaae	Chủ nghĩa cộng sản cánh tả
30751	Luxembourg
581457	Mato Grosso do Sul
aaf1341fcc81604ee16028ab0ff83db5	Biên giới Việt Trung
3300	Latin
198041	Georg Wilhelm Friedrich Hegel
849bc318874ae9f622af82554190044c	Ibsen
99459	Ahmedabad
437304	Chōfu, Tokyo
2886014	UTC-4
3182130	Cornwall
37332	Địa lý Việt Nam
46721	Hoàn Châu cách cách
20f958fd92bcd497da84f938902c728b	Thể loại:Hoàn toàn không có nguồn tham khảo tháng 4 năm 2016
4998246	Ban Bí thư Trung ương Đảng Cộng sản Việt Nam
254471	Bi sắt
344159	Chiến tranh Nguyên Mông-Đại Việt lần 3
12414	Người Hồi
f67541be31e62d8415991b5985ffc9a8	Charles Nepveu
1091cc1e78276240b53b7321867b3bd6	Cornelis de Houtman
543947	Bàn
143370	Triết học phương Tây
2567	Phút
31883	Từ Hi Thái Hậu
bb5d0c0423058189aaa5646be4101b2e	Hải Lan Sát
20202	7 tháng 3
0cca18ed17bbe973f834f31146779936	Andy Serkis
3210566	Thuốc Nam
292829	Bảo tàng Mỹ thuật Việt Nam
4b13428ddc43b406d6bd88bfd823c671	Byzantine art
027c54de3d0985e9d812cdb13bcb6686	Cuộc nổi dậy của người dùng
5482651ec8b4dd8bf5d84a300a464b8e	Antonio Negri
b8c96c573d5b03208d1c952725b827cc	Concept Mining
20222	16 tháng 3
155e04ba0f47cec6fa73972ac99d51e4	Cái
1440777	Cổng Ishtar
7f112159d6dc9466339f5afb0f662555	L'existentialisme est un humanisme
4019	Danh sách màu
5830cb3d6ea3729cb962025c39f27da6	Albert von Kölliker
206005	Minh Đại Tông
1fd877ca40664b89c23249222fbf2021	Hội đồng thành phố
5932fc507e02d5f4c725a1fc91629cab	Các lý thuyết công nghệ
78b4ff681266e32082782b8b6dc62b54	Bảo tàng Khoa học (Boston)
651887	Alfred Russel Wallace
3522795	Cherokee
9df8b433a33d3b339006f4396640dad5	Annecy-Nord-Est (tổng)
c7ae247dff226e621ff76201de4febe0	1788 trong nghệ thuật
6bb7126b7bbdc340b990cdc3aacf0afe	Bạch Quý nhân
578387	Thập niên 1150
3648b831087d570d0bd591fa126326cc	Kshathra Vairya
f594adc678866a9dbb607243647fc2af	Kính viễn vọng Gregory
792001	Cuộc nổi dậy Nông Văn Vân
46881	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá VII
41928	Học viện Kỹ thuật Quân sự
498414	Air New Zealand
478294	Cách mạng vô sản
ab29b5fb928f9355bfec1b892e20e681	Thập niên 1030 TCN
141966	Cao Ly
a09505530b7c33c6bd9bd9c2f6274b06	Chính quyền tiểu bang New York
14229	Vệ tinh tự nhiên
70922	Kärnten
f8a2640df9339e5662710ef97f8ae96e	Hành tẩu
392187	1846
210338	Bangui
530060	Nhiệt độ màu
2461259	Giáo hội Chính thống giáo Copt
541432	Thập niên 1850
89920	Kiến An
2261065	John Howard Northrop
52d5d821b6b54127af66936444ca7a3b	Danh sách vua và hoàng đế Đức
68299	Rio de Janeiro
311129	Bayreuth (huyện)
529169	1536
182961	Bram Stoker
