1519217	Curitiba (định hướng)
d648a36a2d23cda780edee7e0575dc20	Bryn Mawr College
15619	Biển Nhật Bản
3864	Kim loại kiềm
63031	Bokeo
1343735	Barra
323235	Chilgok
530093	1136
1434371	Cahokia
2197302	Ngoại giao bóng bàn
577389	Córdoba (tỉnh Argentina)
5d3a2932cb8b19184097d1ed3b920193	Chất khoáng vi lượng
d89179bf3e887b21d59df8099c9a7b3f	Ayuttaya
dc135dab70e4c108fbee63e9fd15a75c	Dinh Quảng Nam
cf8deea4e023312ee85344264c551b9f	Dặm pháp định
d7dee03eb9d5e35fa888309fe573fcc0	Ann Z. Caracristi
1320647	Finike
132d9597b08b8ec369783a49b00363e3	Chiến tranh Schleswig-Holstein lần thứ nhất
1242756	Bình Mỹ, Bình Lục
3390839	Jordanes
1316148	Beni Messous
1242972	Cẩm Thịnh, Cẩm Xuyên
91c5bf16b85155587ca6e8585eb8d447	Adam Sedgwick
5132	Hệ điều hành
405267	Cologny
200998	Kamrieng
d8bc38759d0403b64a534a6827873f25	Axít florosilicic
279997	Castiglione d'Orcia
3392296	Hội chợ
817877	Ngọc Lý, Hoa Liên
e8b2675a6dda81124e9815aef271a4f0	A Lan Châu
1279613	Thập niên 770
33732967cab7227247993d128cdc6f23	Białystok-osiedle Piasta II
e68c04c113f06fa8af371d5d6bbf981e	Archduke Charles, Công tước Teschen
173474	Giang Xuyên
362412	SI
1b2d76faa7b84df0ab60ad4f60e045d0	Alcetas II của Macedonia
845aaa85c0cde27f02e42ac93b0ba624	Cornelius Jansen
3659498	Cuống lá
bc510a74b3211506730cee9e322dfdf9	Thể loại:Phá hủy thập kỷ 50
65503	Wikisource
ee26fc66b1369c7625333bedafbfcaf6	2156
1181031	Bình nguyên Hoa Bắc
89a0303bd51065195c0387df5ed50893	William Kinderman
d76ed54ba10e63b0887b37076b0a77cd	Earl D. Johnson
280000	Chiusdino
5428	Than chì
3fada6866737ee29e312d15ba3d76842	Beirut (định hướng)
099e15dec5fd428ea75904fceb3b9d64	Thuốc súng thừng
3568533	Gaillardia pulchella
1608fd93a12793272665b0994cba174c	Coachella Valley
f3015314f55263078de86f71666aee24	Australian English
abe22ea05913642e9b626996c4f3ad15	Chu Nghị Thạch
a8cbefba27c065b46b3c64dad82bfe23	Anput
227723	Thất Tinh
32165	Biên Hòa
b06f7223edc917a0d9584cd2997e3612	PO Box
18421	Kiến trúc cổ Việt Nam
a808c20090d6b5a96eaa8ccddc66543b	Hauptmann
405abdf4713e4ee79d5790f84bdbb076	Ahl al-Bayt
71529	Colmar
07a191374c541b53b5b5c7f8abff4085	Governorate of New Castile
815864	Thanh Bình, Biên Hòa
735148	Sắc tộc
7449580	Bảng chữ cái Latinh
455847	Giáo hoàng Piô VI
ea6200203769d9ea96c5704d35cb8d0d	Liên minh Assuwa
5d1d548223d3ea483afd3e7ea4101773	Hô Luân Bối Nhĩ-Nạp Văn Mộ Nhân
c859121d283f97a0d82efedfa6a3175b	Ecoregion conservation status
1297826	Barbuda
868480	Charles Fourier
403027	Bộ Giáo dục Hoa Kỳ
3642345	Bắc thuộc lần 3
1578433	Pharr, Texas
64aad0974d60cf7e32deed4c1d082ca4	Bóng đá tại Thế vận hội Mùa hè 1964 - Vòng loại nam
1253282	Thọ Dân
a96d068f5897a2897cec10fbe003f81e	Nguyễn Quang Khanh
87348	Dĩ An
9e0430dacf577bbe5909cfcc25ef1467	B. D. Hyman
37572	Hoàng Trọng
578395	Thập niên 1070
374946fb3a9b52a41dc2fbe302fc8e4c	Bray
f59f38ed45ccc23e8b7865e323ecf804	Bao vây Boston
371272	Chu Hoàn vương
3660849	Chiến tranh Tây Sơn-Trịnh
c39e2d6ed16bf3f8fd3c4bf4da177172	Carolyne zu Sayn-Wittgenstein
338610	Chính sách
edd4dd80e3c7867032bf20e196c74e2d	Aleksandar Nikolić
41302	Lê Hoàng Long
799631	Salzburg (bang)
529187	1547
69016bfb7ee16cadba5d8435cc21e106	Atlas Air
f607211aef7db21da062e2fb2ebe0fcb	Bi đá trên băng tại Thế vận hội Mùa đông 1992
499074	Luật quốc tế
189588	Diên Trường, Diên An
6b678cffa4c993146713708d91e695b7	Cuộc vây hãm Cassel (1762)
288293	William Thomson
7a908d6e36a535647ddaae33cf1ff2b6	Ban Giáo dục Trung ương Đảng Cộng sản Việt Nam
60083	Maurice Jarre
541391	37 TCN
8bf12faddd8f707ad202a88179d9ff34	Lý Bang Chính
1585016	Eton College
4a43adcf49f9c44b9b82ed56bed4a462	George Henry Dern
37e4e67d21844b14b0688e9d747fd37a	Nguyên âm trước
259592	Núi Dài
38055412945ce87119be61ae0df192ae	Bắc Vận Hà
fcb00b1ce3917ac64b9d4529d9e99b75	Federico Ubaldo, Công tước xứ Urbino
817095	Giải Toán học của Viện hàn lâm Khoa học quốc gia Hoa Kỳ
528337	Bohri
795998	Balochistan (Pakistan)
ca62a8d3209c3e5676459052a3eb6df7	Hilde Spiel
1242725	Bình Hòa Trung
ed75389fed6f77687a7249ac3bf23907	Horace-Bénédict de Saussure
35d7193a71d386c491f5727eaf42900a	Thể loại:Phá hủy thập kỷ 1580
258fa789a6cd70de669e7db9149370b5	Heinrich Wieland
0672b3e1ae478338f05c356add749bd5	Châu Âu thời kỳ đồ đồng
4d03daefb055853093d3fe81d312398a	Luật pháp và chính quyền Missouri
49288	Dmitri Mendeleev
213234	Quặng apatit Lào Cai
57d594a614630dbbd3767b417b8cd606	Cao Hoằng Đồ
5d365b3acca340c8304f4d8d7623d10f	Hosokawa Akiuji
2429571	Ambrôsiô
531907	454
259820	Cretaceous
2417854	Bãi bồi
423890	Avram Hershko
93901	Kinh tế Việt Nam Cộng hòa
c4ea7c5e87eb6de4993e37da3b194ff3	Chiến lũy
95098	Bán đảo Triều Tiên
de60304b2aa11129d840ef60692c4370	Chung kết giải vô địch bóng đá châu Âu 1988
3dfaad7aed8258a26899aa65249599bf	Carbon (fiber)
1127297	Cao Ly Duệ Tông
802867	Danh sách các tác phẩm của Aleksandr Sergeyevich Pushkin
8cb855c6c24e9313baf3052b62b15e86	Sông Kumudvati
f97b20250715a86b8113b035c62aa3bb	Ai Cập (Balkans)
1316056	Aougrout
7fdf69dc8838141e86016d189ac9454a	Hatamoto
67132	Mạc Thái Tông
00a861641d84876df2b914533ee33a41	Booz Allen Hamilton
49576	Nhà Thanh
3311737	Antonio José de Sucre
528999	1613
0fc86bc79181f58fbb47f9195e623149	BAFTA Academy Fellowship
15766	Nhạc Phi
f124bb5d3e8f9167db99b4516b2f4131	Cống sĩ
1765025	Nhà khoa học
74746	Quân đội Hoa Kỳ
0409cbd44559769c8828fa7935f3ce0c	Charles II
1279630	Thập niên 940
d4ce7f2c212a61e979a8fa555bbf6f84	Edwin Mellor Southern
33544	Lý An
1443741	Cửa biển
bc917e1b8c542c0fc49d873683e24491	Montalcino
3164038	Cúng
25256	Chùa Bà Thiên Hậu (Chợ Lớn)
107925	1939
152817	Damascus
2249987	Hoàng tử Johann Georg của Hohenzollern
2199425	Các công trình của Antoni Gaudí
57663	Thế kỷ 5
e8eafa94dcae25167fa4e07e155f7cae	Bắc Nigeria Bảo hộ
4c9aaff32ddd5309f5eb1c1fbd9ecc17	Interdisciplinary Network on Globalization
68985	Mondulkiri (tỉnh)
9d73d841b7a35ee09471fbc8382063d1	Liên kết
3254b707936b69a4a20b02ba8e5a28e6	Cuộc vây hãm Caxias
24380	Mô men lực
2287758	Lãnh thổ Giáo hoàng
107899	1929
528881	1727
7e52fb90fb26d665228c89caf6225d33	Fóia (núi)
5486	Muỗi
3994bd1e78a56d14e474f76438efe4a8	Guðjón Helgason
106028	CONCACAF
102100	Foot
4c2083cf523a2d9f12de17aaf0e6380d	Cultural capital
578320	Thập niên 1620
f612f77fe33257ae5f93678abca7e9f5	Andrew Viterbi
3508125	António Guterres
4b396425e0d3d39ae7a8b90056240c6f	Hiệu kỳ của Bangui
3186029	Chồn ermine
807289	EMedicine
281172	Chi Người
33804	Alabama
38a7ede2722f2eff33b4eb848e5a0b10	Richard Seaford
771390986fcabc436f94e57e8840cf02	Các tiểu vương quốc của Ả Rập Thống nhất
38771	Bulgaria
660517	Diseases Database
414b79ecf0cd6998ee76de6594cc03d0	Thung lũng sụt lún
ff37b7c3c611a8bde4e778740af9358c	UBC Okanagan
370262	Alexandre de Rhodes
38294	Chile
862863	Lũng Thầu
78011	Electronvolt
1244185	Hạ Trung
46719	Bùi Dương Lịch
238596	Cổ Lãng
289801	Grasse
808890	Cát Thủ
2c14c36f673c5c64f03d1dd0c4f85b23	Chiêu viên
176243	Cường quốc
4155	Y học
3669551	Cách mạng Mexico
18584	Mùa mưa
234711	Phim (định hướng)
c54e1f692a5b68247f87eccf185b90dd	Bang Tự do Congo
43897	Chính trị
7a563edca56ad12d73ffaea86b9007df	Quân đội Đức
02dc5683066c8e8208b3f99cbbd351ab	Nancy Johnson
107820	1912
4439	Xanh thủy tinh
392189	1847
671	Lạng Sơn
52a5ed8c7a409611c88fc261d9f1cfa6	Roger d'Ivry
2417204	Chiều
444f7fc03378f7983d2516ff673c43f0	Alexander Alexandrov
3180344	Hồng y Nhiếp chính
96d4b8a47575f327bf1910924e46c5c8	Hóa môi trường
53770	Thể loại:Mất thập kỷ 1750
3353955	Kim Lăng
115763	Liên thành quyết
835f97913c53ddf5403c30998cf58a03	Ahmed Ouyahia
5fd73cde61521fbfe28d51261c579f63	David Miller (political theorist)
a53b7ed08d760a786bfdd4dce1dadb13	Kỷ niên
982972	Bóng đá trên thế giới
3638522	Vĩnh Thạnh
6110f7af8f58e5ff165183de7a54f323	Georgi Plekhanov
22999	Cổ sinh vật học
3246939	Di Hòa Viên
fffaeec0f8cd7bdb352ea8dbc58bd689	Andō Shigeyuki
d4e320df24aef3560ab96521c9310b73	Gia tộc Sakuma
0b636066cb9073e123cbf199fc451e93	Cảnh báo mưa dông khắc nghiệt
62413	Gallia
91d705f7ff40639d6fbd075a6ee7bc56	Chung Minh Kiến (Đại tá, Quân lực VNCH)
1296642	Cộng hòa Nhân dân Mông Cổ
3163381	Alfred Sturtevant
61288	U Minh
11189	Bình Định
2cd42cc8d669353d829dba88876318b3	Nghiệp (Phật giáo) (định hướng)
269569	Spoleto
54350340aa1f358706883cea39623a75	William S. Newman
0c52e83de2a40b5fc0ad63526a8a1745	Câu lạc bộ Bóng đá Nữ Crystal Palace
0348fea8855597a8e63569ef264b5ee7	Huyên của Indonesia
2e54b574d07f6239a732a952fafefd42	Montagne del Morrone
b7c3540aa493925f87b22f8a97baeba7	Chính quyền Alabama
247364	Airbus A320 family
77320	Columbus, Ohio
f38731b838597e49c34d836f392910aa	Cục Cảnh sát Hoa Kỳ
e7fa14e5569becb9ac7a45e5f379f475	Lịch Alexandria
53101	Đế quốc Đức
65d2eaf76ec43e6435f8a2a65d71ed41	Thuật ngữ cờ học
60770	Hướng Bắc
707958dc8ac48b9f2ad3a8181472c9de	Giáo lý Hội thánh Công giáo
8a0e811caa20a4040d60bdecb943ea9e	Cộng đồng kinh tế Á-Âu
8565	Java
25826	La Mã
454831	Phổ điện từ
530193	Thể loại:Mất thập kỷ 130 TCN
6ca473678c81fa4a58f0f4fc9265a685	Bảo tàng Quốc gia Gyeongju
93f78d23687255f083f42f8c6ce0f6e8	Lã Mai Nương
235196	Sinh đôi
0bcd02a2f3ffd0f23f01b14b7598694b	Bộ máy chính trị
33583	Không quân
eeb300a305bac271463b67674c10aeba	Española, New Mexico
3b00609556016c481177d7bceb6e7ed5	Hoàng Thị Duyên
1279589	Thập niên 530
3376531	Cách ngữ pháp
417039	Belgorod (tỉnh)
422076	Biểu quyết
06fa567b72d78b7e3ea746973fbbd1d5	AF
3683322	Hình tượng Cá mập trong văn hóa
2288562	Nhà xuất bản Trẻ
2ba0a4669a891faa5464d5ced6c34a49	Hải quân Ottoman
e6b667ab035fd4e7d6ac8d433e7b2dd7	An Long
849	Vancouver
efeaac35587cde2992865af8a65e74b6	National Diet Library
e738795291b84be13edd30febab5f599	Chăn thả gia súc
19483	Montreal
839004b1ed028561758c8b231bc53bb1	Berbice
303809	Yoro (tỉnh)
11581	Người H'Mông
44c29978e3853e0234582efd5c48e518	Brda, Slovenia
5c9c3ed21cf3717c34b4e912451eaddf	Quảng Bình quan
20402	16 tháng 7
253874	Shayar
8dc25c40ab5b82f5679fd5d2039cd360	Argumentum ad verecundiam
d6096ca0727a7a1d61de6cdc5f7940ab	Chùa Non
806933	Andijon (tỉnh)
15643	Biển Barents
1667788	Binh đoàn sản xuất và xây dựng Tân Cương
807790	Thần nữ
494834	Chiến tranh Việt-Chiêm
397054aae32db7f9968fa939a451516b	Barra Olympic Park
478257	Basilosaurus
386c5465aa427943137613b57fd53cb2	Khoa học nông nghiệp
3265305	Cúp Algarve
97ae1fa2f59a00193578ec7aceef7187	Các quốc gia thành viên Liên hiệp quốc
1254309	Vinh Xuân
108463	Tuyên Hóa
187211	Nguyễn Trọng Trì
3278143	Khu vực lịch sử Bách Tế
1612550	Chiến dịch Belostock
427fad8b4f7d41cd8b159662bec53e30	Cờ Hertfordshire
453810	Edward C. Prescott
1340460	Varna
414b31f2e6ac694151b11a53435ef70d	Hà Hoàng
1616352	Núi Ararat
043e389b7db561a1a7a7ee41a14a8d71	Germain
b76b944ca266239a7a4a0255f1de531c	Ahmed Hadid
107930	1946
354549	Ban Dân vận Trung ương Đảng Cộng sản Việt Nam
31822	Anton Pavlovich Chekhov
1d0a052f4f89dcec960209c5143730ba	Hosokawa Yoriyuki
df5b32e38c8501cefcc057e554c760a7	Nghiêm Vịnh Xuân
3504460	Dave Sexton
a84dcee38c17e5418ec17e84f2ec601f	Chiến dịch Crimp
1243498	Diễn Hải
1468356	Chiến dịch Đông Phổ (1914)
03fb4f8f571082ebb66e5cf38f6e40ed	Dân vũ
fe618440780ed98b8736a23f8e5db769	Bóng chuyền tại Thế vận hội Mùa hè 2016 - Nam
810997	Huy chương Arthur L. Day
71028	Aveyron
1243550	Diễn Tháp
3264530	Ngữ chi German Tây
75903	Bar-sur-Seine
c20ac10216b56815c4d3b5acf41228c8	Hiệp ước Pháp Đông Dương
414561	Abdul Mejid I
65384a06de5f6d3633b17a41d20487bf	Dwight Filley Davis
58018	Nam Phong tạp chí
559263	Hiệp định Paris (1783)
3137607	Ban Chỉ đạo quốc gia về hội nhập Quốc tế
090eaf7caecd94ff0b2965c310e5aec0	Các nhân thức
529166	1533
00401634e6359a7bbfef8b56cbbfed66	Aïn Kihal
f289b08eb1112f7f9b7e056c6b74c0df	Cleonaeus
1250113	Lê Ninh, Kinh Môn
4850fcb73449663527a8bfa4b3056ac5	Khâu Sầm
125793	Đại nhảy vọt
d57a8b15c3ba61ca2149f23b4c0357dd	Alfred Jules Ayer
b5fadd5a5892a9737c8fc4312a486c1a	Ahmad Avai
528888	1729
522522	Kansas City, Missouri
556057	Belgorod
264c8e1089bbc24b4629a49687ec624b	Thể loại:Phá hủy thập kỷ 1370
af84902e603af31641b4b34d6a9f6442	Ildico
cd5bf78c9ececff068bf0cab2d2b6d9b	Bình Phương
2218903	Alexis Carrel
797689	Chủ nghĩa hòa bình
19929	Chiết suất
2451165	Cát khai
8947e2d4332af5fd12ae56e23adeefb2	Cutervo
262200	Fondachelli-Fantina
234242	Abkhazia
308104	Chiến tranh Xô Viết-Thổ Nhĩ Kỳ (1917-1918)
531071	1393
42146	Lê Đại Hành
2247531ee334469581b3b54b84cdb2e2	Bộ Luật hình sự
20523	16 tháng 9
3653142	Bakhchysarai
6533975	Charles Lyell
0cdd5dd9ab7fe93e4fc4cd7fd90931ff	Cacbon-12
7a361738cd871f5d9fafd00e886686de	Eric Holder
1750589	Quỹ đạo mật tiếp
fdaf76bac9c30d6d38e1d6daa6fb9243	Danh sách luật tiểu bang tại Hoa Kỳ
39a3d13f55f3348a88da96ecff419e4d	Conventional electrical unit
216829	Dư Hàng (quận)
b689564192a1caaee7aebf88214900bb	Doi cát cửa
1fb70ac5c0235416fee3990549357013	Dân tộc thực vật học
c125fa29bada4d6a10db3a232ad58688	DMAE
923936822051d81e04e3a7427cc4c00a	Angelo Tesei
3844	Tương tác cơ bản
10596	Blitzkrieg
102125	Chủ nghĩa cộng đồng
786654	Canon (âm nhạc)
e443585d887d63931fb962dd763e43a7	Chỉ dẫn an toàn
238044	Gia đình Hồ Chí Minh
10200	Giám mục
1242856	Bối Cầu
52d10015f95921795122b570c96ca993	Thể loại:Kiến trúc thập kỷ 60 TCN
140191	Rhine
615ffa5951a3517f6ce4c7418428d21b	Vịnh Tướng Quân
1443657	Cuộc thập tự chinh của trẻ em
57759	Gỗ
7511096	Elara (vệ tinh)
77990	Chủ nghĩa toàn trị
91d7ae887f88b3be4432db94c7736f94	Hộ sinh
35484	Basileus
415528	Thuộc Minh
53727	Thể loại:Sinh thập kỷ 1550
530561	970
250063	William Petty
8436	Thiên Chúa
a55eef4e176a5b44a2c01a0efea28c07	Du bist ein Blume
2217228	Các dinh thự Medici
f60ce38c79cfdcfd29fc6f21fbbcf3a6	Abu Zikry
259276	Ahmed II
2360200	George A. Olah
325374	Hệ tinh thể lục phương
95938	Mogadishu
0fa3129bb82c3d16776b64dc20c15311	Eder
460386	Tiếng Catalunya
531796	534
1522792	La Sơn, Bình Lục
65fe20766bdd593de73e3ae3fe72b5db	Constitutionalism
3ad867d02d1f9a1eeeb77eea4b3f9392	Arvid Horn
19372	21 tháng 11
cdf2ddebc7b4404322e4c47b6a492ebd	ARCADD, Inc.
60e5752f6649f6588d496ac2c806a573	Chú hổ Hobbes
20165	18 tháng 2
8b5be516fc28f9d5b36956d560021419	Giặc Ân
5fd14e83777c4e93f41e2bdf970f4b72	Bình dân Ai Cập
9914	Clarinet
3432ae00483a4feb445a8fed7d1a8031	Ho Un-byol
3289654	Phân cấp hành chính ở Ấn Độ
35760	Connecticut
3166793	Tạ Hoàng Cơ
38317	Costa Rica
06aff615a217c272571d2b0feb6442c5	Cấu trúc khả vi
cdc1471c430dd6e79ca7e882299f9fe2	Bệnh viện Miễn phí Hoàng gia
1377833	Thuận Thành (định hướng)
b5b84c1c39f2efeb731519b7ad233320	Chambers's Edinburgh Journal
5557fc6e5117587ad39a0480ffc92bd3	Beta emission
68418aef4aeafbf196ebe75ba760831c	Các ngôn ngữ vùng Balkans
58703	Hung Nô
096a334c66d8949e3afcf82bee85fdb1	Bãi biển Clifton
688429573b7eec15119a4a4cfb7edfb2	Dã sử
4a8eea41474a082605fee648ea63c428	Barơ
804156	Burgas
3257519	Hans Zimmer
f6b1969f23cb68e81e74c709c135090e	An Hòa Hưng
2ea17e8de871fff58ac6c5a51f94c3d7	Amina J. Mohammed
502001	Río Negro (tỉnh)
371776	Bernissart
96a98a12475b9032e6edfb1826af8b71	Bromley and Chislehurst (UK Parliament constituency)
fd30d21c8867f2d37f71ec750aaea8a5	Cadmus
edf087660cfc8e0f1c5465fd74501b31	Cơ vòng
2419845	Cách mạng Ngoại Mông 1911
3599633	DB320
530224	1085
fb98cee114482f767026f63b6cf01cfb	Black Brant (tên lửa)
41859	Lê Quý Đôn
103171	Augustus
141441	Nỏ
3549b5f8dc3aa1b678a71e147f35b8da	Liên minh chống Pháp thứ 4
f8ec003ccedef294e063fce6d30a3230	Chùa tháp Toji
7f2a5991e31789ff53627c4c3188b037	Cống sanh
119478	Chiến tranh Nga-Nhật
2452440	Bóng đá tại Đại hội Thể thao châu Á 1998
ac1c5b73c3527a4f912c38260fb9cfb9	Frederick Baily Dent
b09ff5a5ed2d0e2bb3caa13f948d9447	Thanh triều bí truyện toàn tập
529391	1663
bef286a6246666f474633546c90785b4	Cuộc đời của Shakespeare
704099	Carinaria lamarckii
9af90425f2d72ed62dfe7a4a4eb2b09b	Danh sách vua nhà Trần
63997	1974
e82f5024567339f393ec8e07debf5eda	Sông Hotan
618cbe047bf09e845e5136f6aa44ef36	Castilla
579229	Ban Cán sự Đảng Ngoài nước Đảng Cộng sản Việt Nam
38762	Azerbaijan
15373	Chiến tranh biên giới Việt–Trung 1979
1204229	Abdelaziz Bouteflika
76080	Nhà thờ Đức Bà
19568	Thể loại:Mất 1726
299b36070db583f6e401426a08840f3d	Làng Oeam
5778	Giấy
ad9feba78ae01f3cbe728973a19ff067	Minh châu
bac80add22259f20c626860d4d302c02	After the Storm
b2d84cce3761b27db6d326aa6301cb38	Chủ nghĩa phong kiến
0a11c58db7d0bd11011e58ed0a0810b1	Bethlehem (định hướng)
1241543	Bắt giữ electron
1747325	Paul Valéry
58320302d904cb927ccffcbbdd928d1b	Alexandra Tolstaya
558873	Bắc Á
df58a7c95f6a554ae06fb12e0da79471	Milton Osborne
04336f03f1aff8cc2a3d515645653130	Các giọng tiếng Anh
fe401fc1d7e6cd12ef7dafae7e8f3df6	Barrios (Buenos Aires)
8212d037694e757007319749314d7d06	Cột đồng hồ mặt trời
144296	Chiến tranh Krym
68736	Agra
407640	Tinh thể học
2426263	AIRES
9f9a343d4d1aa40782a8acae95751eca	25 March
108600	Fantasio
62813	Khối Đồng Minh thời Chiến tranh thế giới thứ hai
f325c71cc3eba465d84a26811d5f5dad	Du khách
579391	Bùi Mộc Đạc
2365675	Camellia brevissima
815471	Ferla
1244344	Hiệp Hòa, Kinh Môn
3277991	Giải vô địch bóng đá thế giới 2010
f761cafb118e05452fc1572fb689e766	Freycinet
46daf363ccb119c012f6f1257472d568	Tiếng Venetian
05b9ba475b9a2788979f2a37473c853f	Ngoại nhũ
11647284	Difloxacin
42085	Eo biển Gibraltar
353714	Địa tô tuyệt đối và địa tô chênh lệch
1316057	Aoulef
102498	Danh sách hãng chế tạo động cơ máy bay
7761a1f3412563c910f49ae61d1fccc4	Bojary
44f3ada003b69e64469649989073ad8d	Tiểu Á (định hướng)
20135	7 tháng 2
3674793	Cacbon mônôxít
5d287e141f6ffb2c010750a4bcff6741	Chiến tranh Illyria
2324060	Bad Tölz
7e94481ed0bd77c61ff266a4ce48b0c2	Arawak
be17cd4103dd638e3bec9a25ecc91e6c	Bút chiến
d4234d02121643f3ceab1cdccb208665	Don Republic
61442	Người Tráng
399283f9fd8398a81eb4ef71ba775df0	Sông ngòi Trung Quốc
ae161856ce8c2d5390dcf557a1f8e5f7	Danh sách các lớp độ phức tạp
16310	Biển Marmara
90625	Bến Tre (thành phố)
63470	1990
8d779493381a7f94250d098d9b0e7d89	Miyabe Teizō
453dfa5888b7e3af1c23b1d489e578e3	Guraxin
1aec1352ce6ef3669a17485fa394c817	Hốc sinh thái
813850	Portland, Maine
9576	Hóa keo
93bb84e5110914ae025593c40408ffc3	Tập đoàn Goodrich
27696	Nhiếp ảnh
2356599	356 TCN
cc6316e304c62591c8d455b2c2a20921	Bắp đùi
1279519	Thập niên 20
aaf3b2b47eb3c2f21b6633e5e59b28c9	Coto de Caza, California
87318	Bảo tàng Lịch sử Việt Nam (Thành phố Hồ Chí Minh)
6671d54783730332917d8136f299cf77	Devanagari alphabet
3806b1dde52150d237c52155eb3e7d62	Comorian franc
87342	Tưởng Giới Thạch
32852	Che Guevara
8f01fe2a840e1ae6d3c5deaaf37590ac	Dixie
9abc76763939d20ab8103a1e49c3c1e6	Fatimid
74552	Chablis
143481	Kosovo
0a225f2d3885185e822943ed8a81e459	Học viện Roma
baafa07fbdbeb9feb8828f59fd0a729f	Apollodorus
d10e81cff05837553ceef73d70bde0f1	Bolognetta
3277928	Cộng hòa Nhân dân Trung Hoa
61371	George Armstrong Custer
1330951	CentOS
d1bed731406ef183a388593f0d2b6167	Hong In-bom
9304839670c7ecf50e6dd67e3630113d	Gordon Campbell
7c417b150ecfea251de2e8daf16c823d	Empress Xiao-Yi
14165	Cảnh sát
aec1fa88f9533622bdb36281c841dee5	Arabah
51082f12af6fe35bc15c22c8e8f2c139	António de Almeida Santos
86737	Thanh Oai
99b65dba1bd6bc3d87d840fadc090360	Charlie Baker
200590	Gián
ce1fa8286e464d575c9695db65ca76ed	Atlantic Oceanographic and Meteorological Laboratory
8eeef4cacb3b069d167f18ef4e56065d	Hamish M. Scott
248143	Rama I
e8acbea808fe55b16f0fd824e6d4221a	Cornell University Press
5482651ec8b4dd8bf5d84a300a464b8e	Antonio Negri
2222611	Harold Urey
123749	Pompey
1763302	Hoàng hậu Silvia của Thụy Điển
36961	Piano
76441	Không quân Hoa Kỳ
2290888	Rubens
6bc5ace298ea2b311c2357aaff4fe84e	Color vision
555e71da7f89bc938e9c78fdf3e0fad1	Tình yêu không được đáp lại
528927	1761
2234957	Nguyễn Văn Giao
172818	Lục Nam, Bắc Giang
6717	Bình Ngô đại cáo
d624733e41085689a0fe79970c94d035	Chu Thường Tự
529196	1556
9338b506e0e895efbe8fbe6a6874eaff	Hiệu ứng Allee
edd398c5f944fea02d7cf31ceac1a6c5	La carte et le territoire
1609758	Giờ Đông Âu
262375bfe9f6e1d9280182438c02f4c1	Hayashi Gahō
9587768	Tỉnh của Uzbekistan
297240	Cao nguyên Iran
176235	Chiến tranh Nga-Thổ Nhĩ Kỳ
4759	Nam Định
413396	Allianz
3fa245551b2543d9a77a3ef7c3005eef	Hoà Quý Mùi
7c392652abca5bbffa799ef288501f6a	Bản đồ hàng hải
437994	Bức thư Tawagalawa
432882280ac40fae6a9e314dfce058bf	Giáo hội Công giáo Quốc gia Ba Lan
35352	Bóng rổ
810448	Bắc Hải, Tiền Hải
33986	Bùi Thị Xuân
333950	Diệp Vấn (phim)
1746925	Long Châu
d9797024797bb24655eda2f4991a5b82	Bình định Bắc Kỳ
1750363	Cuộc chinh phục Britannia của La Mã
7d60c341ba3ad05a4e4c4222cb1421e1	Ujichika Imagawa
63328	1993
1127303	Cao Ly Minh Tông
6a79078d221f071732d3dc7d55a26946	Thể loại:Kiến trúc thập kỷ 1530
113206	Quốc Bảo
191820	Daimyō
9ccee7b820781b3a4f42f987a5efc8ab	Bharti Airtel
2459155	Danh sách các thể loại nhạc rock
100067	Shinjuku
3256282	Anna Magnani
182642	Thanh Đồng Hạp
3172271	Bùi Thanh Khiết
9d3936cd85f53a1ae4a748e82947be05	Cuộc thám hiểm của Thornton
138c8e4a3e36b9e10c02299c7b0ab1fd	Minh kinh bác học
98323db1ba9dde96d6eaf77a47cb16e4	Henry Kater
983160	Kinh tế Đại Việt thời Trần
4e498beba1e7036d55ef956e2bb8e11a	Friedberg (Hessen)
145848	Dmitry Anatolyevich Medvedev
150959166eaa6c0ad78f85c408c27bfe	Lịch Bắc Triều Tiên
1744346	Huyền thoại
72472	Chungcheong Bắc
862f23cbad0457f2a41ebcbe4a9de259	Chiến tranh Nga-Thụy Điển (1741-1743)
12053337	Diệp Vấn 2
25991	Bismut
1508b4810c0f909d804893ee23768282	Boomerang (TV channel)
20537	22 tháng 9
9494d0c9427dad94664d3dd990934702	Clorit kali
1211320	CAF Champions League
111181	Trường quyền
299903b90a1429cd69348a3dfbea1bf4	Hoạt hình cát
2462490	Bảo Chấn
272463	Chilluévar
3642335	Alan García
de5b298edeac79e55b65dad7fce17d0c	Lake Champlain
782685	Niên Canh Nghiêu
234233	Lê Gia Tông
3282645	Di cư
c83e8541f8baa07f767e38c5f6d92f79	Thể loại:Thành lập thập kỷ 1270
1691	Hoàng đế
384037	Mithridates VI của Pontos
3211047	Bột Nhi Chỉ Cân
797280	Phó vương quốc Río de la Plata
794158	Tương quân
1367627	Assassin's Creed: Brotherhood
43091	Y khoa
1238986	Hòa ước Thiên Tân 1885
3700527	Tổng thống Israel
519303	Chu Do Lang
800486	Hà Tiến
32217	Jaroslav Seifert
530245	1068
376887	Kokuji
d64ceae11021c8ba815a8a78bcc51ef2	Tiểu Ngư Nhi và Hoa Vô Khuyết
12453130	D.Gray-man
dbd694402be22715d6ea5acca653cce8	Council areas of Scotland
10698	Latvia
1251586	Phú Lương, Phú Vang
